wav,int
500.9193,0.01409259
501.4014,0.0188298
501.8835,0.02312196
502.3657,0.02622965
502.8478,0.02751285
503.3299,0.02663224
503.812,0.02366183
504.2941,0.01912194
504.7762,0.01380518
505.2584,0.008570502
505.7405,0.004015031
506.2226,0.000395005
506.7047,-0.002334567
507.1868,-0.004382618
507.6689,-0.005949039
508.1511,-0.007111203
508.6332,-0.007809303
509.1153,-0.007915219
509.5974,-0.007344006
510.0795,-0.006140489
510.5616,-0.004500294
511.0438,-0.002746327
511.5259,-0.001230014
512.008,-0.000279694
512.4901,-0.000124036
512.9722,-0.000857523
513.4543,-0.002461036
513.9365,-0.004808925
514.4186,-0.007690958
514.9007,-0.01079472
515.3828,-0.0137325
515.8649,-0.01612343
516.347,-0.01763211
516.8292,-0.01808353
517.3113,-0.01748255
517.7934,-0.01599724
518.2755,-0.01389433
518.7576,-0.01147725
519.2397,-0.009062924
519.7219,-0.006930193
520.204,-0.005317107
520.6861,-0.004426963
521.1682,-0.00438744
521.6503,-0.005242245
522.1324,-0.006915225
522.6146,-0.009205486
523.0967,-0.01179173
523.5788,-0.01428495
524.0609,-0.01634881
524.543,-0.01774937
525.0251,-0.01839956
525.5073,-0.01833886
525.9894,-0.01766822
526.4715,-0.01649841
526.9536,-0.01492204
527.4357,-0.01304132
527.9178,-0.01100617
528.4,-0.009019926
528.8821,-0.007353095
529.3642,-0.00626409
529.8463,-0.005916126
530.3284,-0.006332278
530.8105,-0.00736023
531.2927,-0.008732266
531.7748,-0.01013938
532.2569,-0.01136635
532.739,-0.01235143
533.2211,-0.01317728
533.7032,-0.01399345
534.1854,-0.01491848
534.6675,-0.0159653
535.1496,-0.01702471
535.6317,-0.01791438
536.1138,-0.0184558
536.5959,-0.01855881
537.0781,-0.01823854
537.5602,-0.01759403
538.0423,-0.01674297
538.5244,-0.01577993
539.0065,-0.01475162
539.4886,-0.01367336
539.9708,-0.01256802
540.4529,-0.01149464
540.935,-0.01054345
541.4171,-0.009810086
541.8992,-0.009342649
542.3813,-0.009109098
542.8635,-0.008997663
543.3456,-0.00886315
543.8277,-0.008597833
544.3098,-0.008177475
544.7919,-0.007681355
545.274,-0.007248932
545.7562,-0.007031434
546.2383,-0.007112018
546.7204,-0.007476059
547.2025,-0.008015547
547.6846,-0.008574995
548.1667,-0.009005842
548.6489,-0.009190109
549.131,-0.009062503
549.6131,-0.008591498
550.0952,-0.007766441
550.5773,-0.006598493
551.0594,-0.005134856
551.5416,-0.003481484
552.0237,-0.001795099
552.5058,-0.000266349
552.9879,0.000923599
553.47,0.001671977
553.9521,0.001977262
554.4343,0.001947506
554.9164,0.001743429
555.3985,0.001523256
555.8806,0.001371494
