wav,int
5.004372E+02,1.274689E-02
5.009193E+02,1.342090E-02
5.014014E+02,1.445606E-02
5.018835E+02,1.567363E-02
5.023657E+02,1.683689E-02
5.028478E+02,1.776339E-02
5.033299E+02,1.839240E-02
5.038120E+02,1.880558E-02
5.042941E+02,1.918264E-02
5.047762E+02,1.970993E-02
5.052584E+02,2.050077E-02
5.057405E+02,2.141517E-02
5.062226E+02,2.214412E-02
5.067047E+02,2.225540E-02
5.071868E+02,2.138593E-02
5.076689E+02,1.937984E-02
5.081511E+02,1.639593E-02
5.086332E+02,1.285937E-02
5.091153E+02,9.335368E-03
5.095974E+02,6.340063E-03
5.100795E+02,4.161464E-03
5.105616E+02,2.850712E-03
5.110438E+02,2.239895E-03
5.115259E+02,2.057254E-03
5.120080E+02,2.034050E-03
5.124901E+02,2.014410E-03
5.129722E+02,1.990310E-03
5.134543E+02,2.081024E-03
5.139365E+02,2.449103E-03
5.144186E+02,3.207761E-03
5.149007E+02,4.357476E-03
5.153828E+02,5.756789E-03
5.158649E+02,7.161704E-03
5.163470E+02,8.292733E-03
5.168292E+02,8.953832E-03
5.173113E+02,9.095342E-03
5.177934E+02,8.804558E-03
5.182755E+02,8.246298E-03
5.187576E+02,7.568640E-03
5.192397E+02,6.839492E-03
5.197219E+02,6.017082E-03
5.202040E+02,4.983983E-03
5.206861E+02,3.615184E-03
5.211682E+02,1.873025E-03
5.216503E+02,-1.424530E-04
5.221324E+02,-2.162336E-03
5.226146E+02,-3.821976E-03
5.230967E+02,-4.719357E-03
5.235788E+02,-4.531740E-03
5.240609E+02,-3.138322E-03
5.245430E+02,-6.514234E-04
5.250251E+02,2.597609E-03
5.255073E+02,6.176426E-03
5.259894E+02,9.622613E-03
5.264715E+02,1.255197E-02
5.269536E+02,1.472755E-02
5.274357E+02,1.602767E-02
5.279178E+02,1.642428E-02
5.284000E+02,1.594063E-02
5.288821E+02,1.459266E-02
5.293642E+02,1.243320E-02
5.298463E+02,9.568583E-03
5.303284E+02,6.214909E-03
5.308105E+02,2.697352E-03
5.312927E+02,-6.030183E-04
5.317748E+02,-3.294778E-03
5.322569E+02,-5.104206E-03
5.327390E+02,-5.923709E-03
5.332211E+02,-5.803051E-03
5.337032E+02,-4.903945E-03
5.341854E+02,-3.431782E-03
5.346675E+02,-1.593669E-03
5.351496E+02,4.396461E-04
5.356317E+02,2.512852E-03
5.361138E+02,4.453440E-03
5.365959E+02,6.072822E-03
5.370781E+02,7.164533E-03
5.375602E+02,7.540656E-03
5.380423E+02,7.108720E-03
5.385244E+02,5.905826E-03
5.390065E+02,4.119047E-03
5.394886E+02,2.022699E-03
5.399708E+02,-7.590345E-05
5.404529E+02,-1.919448E-03
5.409350E+02,-3.361493E-03
5.414171E+02,-4.334529E-03
5.418992E+02,-4.818559E-03
5.423813E+02,-4.792540E-03
5.428635E+02,-4.198531E-03
5.433456E+02,-2.956043E-03
5.438277E+02,-1.009216E-03
5.443098E+02,1.612542E-03
5.447919E+02,4.742497E-03
5.452740E+02,8.079342E-03
5.457562E+02,1.118835E-02
5.462383E+02,1.361406E-02
