wav,int
5.004372e+002,2.820250e-002
5.009193e+002,3.198624e-002
5.014014e+002,3.530378e-002
5.018835e+002,3.796095e-002
5.023657e+002,3.981226e-002
5.028478e+002,4.079686e-002
5.033299e+002,4.092442e-002
5.038120e+002,4.027295e-002
5.042941e+002,3.895125e-002
5.047762e+002,3.706979e-002
5.052584e+002,3.469279e-002
5.057405e+002,3.180053e-002
5.062226e+002,2.833671e-002
5.067047e+002,2.428084e-002
5.071868e+002,1.974811e-002
5.076689e+002,1.504909e-002
5.081511e+002,1.067840e-002
5.086332e+002,7.151497e-003
5.091153e+002,4.888103e-003
5.095974e+002,4.071785e-003
5.100795e+002,4.591783e-003
5.105616e+002,6.083776e-003
5.110438e+002,8.012307e-003
5.115259e+002,9.847170e-003
5.120080e+002,1.114487e-002
5.124901e+002,1.166528e-002
5.129722e+002,1.138324e-002
5.134543e+002,1.042222e-002
5.139365e+002,8.960225e-003
5.144186e+002,7.152676e-003
5.149007e+002,5.114851e-003
5.153828e+002,2.938904e-003
5.158649e+002,7.258772e-004
5.163470e+002,-1.367837e-003
5.168292e+002,-3.139605e-003
5.173113e+002,-4.383045e-003
5.177934e+002,-4.925666e-003
5.182755e+002,-4.702674e-003
5.187576e+002,-3.789887e-003
5.192397e+002,-2.417379e-003
5.197219e+002,-9.197872e-004
5.202040e+002,3.328264e-004
5.206861e+002,1.006917e-003
5.211682e+002,9.109147e-004
5.216503e+002,1.295560e-005
5.221324e+002,-1.550321e-003
5.226146e+002,-3.523916e-003
5.230967e+002,-5.571973e-003
5.235788e+002,-7.346905e-003
5.240609e+002,-8.584839e-003
5.245430e+002,-9.126294e-003
5.250251e+002,-8.935183e-003
5.255073e+002,-8.073703e-003
5.259894e+002,-6.661244e-003
5.264715e+002,-4.845985e-003
5.269536e+002,-2.780074e-003
5.274357e+002,-6.379909e-004
5.279178e+002,1.382895e-003
5.284000e+002,3.085942e-003
5.288821e+002,4.262872e-003
5.293642e+002,4.756231e-003
5.298463e+002,4.497529e-003
5.303284e+002,3.533402e-003
5.308105e+002,2.038844e-003
5.312927e+002,2.718173e-004
5.317748e+002,-1.475831e-003
5.322569e+002,-2.984509e-003
5.327390e+002,-4.159939e-003
5.332211e+002,-5.029209e-003
5.337032e+002,-5.691779e-003
5.341854e+002,-6.235120e-003
5.346675e+002,-6.663071e-003
5.351496e+002,-6.861838e-003
5.356317e+002,-6.633312e-003
5.361138e+002,-5.762280e-003
5.365959e+002,-4.132797e-003
5.370781e+002,-1.792228e-003
5.375602e+002,1.010637e-003
5.380423e+002,3.888974e-003
5.385244e+002,6.374761e-003
5.390065e+002,8.041739e-003
5.394886e+002,8.641611e-003
5.399708e+002,8.132004e-003
5.404529e+002,6.686164e-003
5.409350e+002,4.602532e-003
5.414171e+002,2.251952e-003
5.418992e+002,2.584463e-006
5.423813e+002,-1.839280e-003
5.428635e+002,-2.997803e-003
5.433456e+002,-3.254526e-003
5.438277e+002,-2.458730e-003
5.443098e+002,-5.276040e-004
5.447919e+002,2.511319e-003
5.452740e+002,6.495219e-003
5.457562e+002,1.107763e-002
5.462383e+002,1.575107e-002
5.467204e+002,1.992266e-002
5.472025e+002,2.296997e-002
5.476846e+002,2.444388e-002
5.481667e+002,2.417570e-002
5.486489e+002,2.233276e-002
5.491310e+002,1.937610e-002
5.496131e+002,1.594413e-002
5.500952e+002,1.271936e-002
5.505773e+002,1.021138e-002
5.510594e+002,8.682984e-003
5.515416e+002,8.114415e-003
5.520237e+002,8.264905e-003
5.525058e+002,8.787245e-003
5.529879e+002,9.352464e-003
5.534700e+002,9.773829e-003
5.539521e+002,1.001962e-002
5.544343e+002,1.019319e-002
5.549164e+002,1.043600e-002
5.553985e+002,1.084609e-002
5.558806e+002,1.140443e-002
5.563627e+002,1.198588e-002
5.568448e+002,1.240251e-002
5.573270e+002,1.249993e-002
5.578091e+002,1.223562e-002
5.582912e+002,1.169962e-002
5.587733e+002,1.108158e-002
5.592554e+002,1.057823e-002
5.597375e+002,1.032123e-002
5.602197e+002,1.031366e-002
5.607018e+002,1.044479e-002
5.611839e+002,1.054479e-002
5.616660e+002,1.047724e-002
5.621481e+002,1.020310e-002
5.626302e+002,9.800127e-003
5.631124e+002,9.423702e-003
5.635945e+002,9.237406e-003
5.640766e+002,9.348977e-003
5.645587e+002,9.761427e-003
5.650408e+002,1.038557e-002
5.655229e+002,1.107709e-002
5.660051e+002,1.170599e-002
5.664872e+002,1.218839e-002
5.669693e+002,1.250283e-002
5.674514e+002,1.267347e-002
5.679335e+002,1.274509e-002
5.684156e+002,1.276621e-002
5.688978e+002,1.278794e-002
5.693799e+002,1.288504e-002
5.698620e+002,1.316569e-002
5.703441e+002,1.374512e-002
5.708262e+002,1.471724e-002
5.713083e+002,1.608337e-002
5.717905e+002,1.772031e-002
5.722726e+002,1.935936e-002
5.727547e+002,2.064574e-002
5.732368e+002,2.125452e-002
5.737189e+002,2.096731e-002
5.742010e+002,1.978115e-002
5.746832e+002,1.790396e-002
5.751653e+002,1.571018e-002
5.756474e+002,1.360394e-002
5.761295e+002,1.190029e-002
5.766116e+002,1.077879e-002
5.770938e+002,1.025287e-002
5.775759e+002,1.022603e-002
5.780580e+002,1.055749e-002
5.785401e+002,1.113161e-002
5.790222e+002,1.187696e-002
5.795043e+002,1.274771e-002
5.799865e+002,1.368952e-002
5.804686e+002,1.459739e-002
5.809507e+002,1.530166e-002
5.814328e+002,1.561472e-002
5.819149e+002,1.537433e-002
5.823970e+002,1.451149e-002
5.828792e+002,1.308185e-002
5.833613e+002,1.125680e-002
5.838434e+002,9.279310e-003
5.843255e+002,7.380812e-003
5.848076e+002,5.747388e-003
5.852897e+002,4.473157e-003
5.857719e+002,3.558289e-003
5.862540e+002,2.934101e-003
5.867361e+002,2.500255e-003
5.872182e+002,2.164365e-003
5.877003e+002,1.856254e-003
5.881824e+002,1.541411e-003
5.886646e+002,1.217791e-003
5.891467e+002,9.079596e-004
5.896288e+002,6.532980e-004
5.901109e+002,5.049248e-004
5.905930e+002,5.208811e-004
5.910751e+002,7.481148e-004
5.915573e+002,1.207325e-003
5.920394e+002,1.878449e-003
5.925215e+002,2.698286e-003
5.930036e+002,3.570817e-003
5.934857e+002,4.391615e-003
5.939678e+002,5.091014e-003
5.944500e+002,5.658187e-003
5.949321e+002,6.151421e-003
5.954142e+002,6.675195e-003
5.958963e+002,7.344517e-003
5.963784e+002,8.235357e-003
5.968605e+002,9.341124e-003
5.973427e+002,1.055953e-002
5.978248e+002,1.170697e-002
5.983069e+002,1.258577e-002
5.987890e+002,1.302579e-002
5.992711e+002,1.295221e-002
5.997532e+002,1.240681e-002
6.002354e+002,1.153705e-002
6.007175e+002,1.054683e-002
6.011996e+002,9.618886e-003
6.016817e+002,8.877294e-003
6.021638e+002,8.345557e-003
6.026459e+002,7.961920e-003
6.031281e+002,7.611091e-003
6.036102e+002,7.179220e-003
6.040923e+002,6.597914e-003
6.045744e+002,5.858201e-003
6.050565e+002,5.011166e-003
6.055386e+002,4.139485e-003
6.060208e+002,3.336192e-003
6.065029e+002,2.674148e-003
6.069850e+002,2.203627e-003
6.074671e+002,1.956492e-003
6.079492e+002,1.948771e-003
6.084313e+002,2.179350e-003
6.089135e+002,2.617576e-003
6.093956e+002,3.194510e-003
6.098777e+002,3.796377e-003
6.103598e+002,4.275051e-003
6.108419e+002,4.497362e-003
6.113240e+002,4.377223e-003
6.118062e+002,3.924012e-003
6.122883e+002,3.248753e-003
6.127704e+002,2.554912e-003
6.132525e+002,2.080658e-003
6.137346e+002,2.014676e-003
6.142167e+002,2.456900e-003
6.146989e+002,3.372321e-003
6.151810e+002,4.608761e-003
6.156631e+002,5.916372e-003
6.161452e+002,7.018701e-003
6.166273e+002,7.692971e-003
6.171094e+002,7.805294e-003
6.175916e+002,7.361535e-003
6.180737e+002,6.488728e-003
6.185558e+002,5.411126e-003
6.190379e+002,4.379331e-003
6.195200e+002,3.612678e-003
6.200021e+002,3.271888e-003
6.204843e+002,3.414865e-003
6.209664e+002,3.995267e-003
6.214485e+002,4.864882e-003
6.219306e+002,5.816223e-003
6.224127e+002,6.623886e-003
6.228948e+002,7.090870e-003
6.233770e+002,7.112089e-003
6.238591e+002,6.687443e-003
6.243412e+002,5.921075e-003
6.248233e+002,4.971280e-003
6.253054e+002,4.008376e-003
6.257875e+002,3.162134e-003
6.262697e+002,2.488224e-003
6.267518e+002,1.978826e-003
6.272339e+002,1.585605e-003
6.277160e+002,1.258131e-003
6.281981e+002,9.657042e-004
6.286802e+002,7.076898e-004
6.291624e+002,5.008114e-004
6.296445e+002,3.591558e-004
6.301266e+002,2.764590e-004
6.306087e+002,2.247069e-004
6.310908e+002,1.630832e-004
6.315729e+002,6.044069e-005
6.320551e+002,-8.753131e-005
6.325372e+002,-2.553552e-004
6.330193e+002,-3.972611e-004
6.335014e+002,-4.692557e-004
6.339835e+002,-4.426770e-004
6.344656e+002,-3.140965e-004
6.349478e+002,-1.002852e-004
6.354299e+002,1.757122e-004
6.359120e+002,4.964327e-004
6.363941e+002,8.558003e-004
6.368762e+002,1.251751e-003
6.373583e+002,1.677033e-003
6.378405e+002,2.111156e-003
6.383226e+002,2.522250e-003
6.388047e+002,2.882665e-003
6.392868e+002,3.182861e-003
6.397689e+002,3.444154e-003
6.402510e+002,3.710951e-003
6.407332e+002,4.034795e-003
6.412153e+002,4.444301e-003
6.416974e+002,4.925635e-003
6.421795e+002,5.418708e-003
6.426616e+002,5.836506e-003
6.431437e+002,6.105920e-003
6.436259e+002,6.195885e-003
6.441080e+002,6.141608e-003
6.445901e+002,6.028707e-003
6.450722e+002,5.968908e-003
6.455543e+002,6.049202e-003
6.460364e+002,6.296794e-003
6.465186e+002,6.667927e-003
6.470007e+002,7.061199e-003
6.474828e+002,7.358233e-003
6.479649e+002,7.455637e-003
6.484470e+002,7.307719e-003
6.489291e+002,6.935063e-003
6.494113e+002,6.415852e-003
6.498934e+002,5.857764e-003
6.503755e+002,5.372780e-003
6.508576e+002,5.066743e-003
6.513397e+002,5.021087e-003
6.518218e+002,5.292779e-003
6.523040e+002,5.908983e-003
6.527861e+002,6.855952e-003
6.532682e+002,8.068742e-003
6.537503e+002,9.421907e-003
6.542324e+002,1.075091e-002
6.547145e+002,1.186345e-002
6.551967e+002,1.258130e-002
6.556788e+002,1.279398e-002
6.561609e+002,1.247330e-002
6.566431e+002,1.168410e-002
6.571251e+002,1.055070e-002
6.576073e+002,9.233344e-003
6.580894e+002,7.884814e-003
6.585715e+002,6.619108e-003
6.590536e+002,5.512994e-003
6.595358e+002,4.598815e-003
6.600178e+002,3.874498e-003
6.605000e+002,3.315991e-003
6.609821e+002,2.888335e-003
6.614642e+002,2.555445e-003
6.619463e+002,2.282228e-003
