Start time: Mon Jul 15 16:01:41 EST 2019		
"Trend type: Average Wavelength over [600.00, 700.00]"		
Trend offset: None		
>>>>>Begin Strip Chart Data<<<<<		
Date	Elapsed Time	Absorbance(Absorbance)
07:06.7	3.25E+02	-0.128
07:07.6	3.26E+02	-0.128
07:08.6	3.27E+02	-0.128
07:09.5	3.28E+02	-0.128
07:10.4	3.29E+02	-0.128
07:11.3	3.30E+02	-0.128
07:12.2	3.31E+02	0.068
07:13.2	3.32E+02	1.476
07:14.1	3.33E+02	1.455
07:15.0	3.34E+02	1.428
07:15.9	3.35E+02	1.408
07:16.8	3.35E+02	1.39
07:17.8	3.36E+02	1.374
07:18.7	3.37E+02	1.355
07:19.6	3.38E+02	1.342
07:20.5	3.39E+02	1.331
07:21.5	3.40E+02	1.309
07:22.4	3.41E+02	1.279
07:23.3	3.42E+02	1.253
07:24.2	3.43E+02	1.228
07:25.1	3.44E+02	1.202
07:26.1	3.45E+02	1.174
07:27.0	3.46E+02	1.149
07:27.9	3.46E+02	1.126
07:28.8	3.47E+02	1.105
07:29.7	3.48E+02	1.08
07:30.7	3.49E+02	1.033
07:31.6	3.50E+02	0.997
07:32.5	3.51E+02	0.948
07:33.4	3.52E+02	0.918
07:34.4	3.53E+02	0.917
07:35.3	3.54E+02	0.908
07:36.2	3.55E+02	0.9
07:37.1	3.56E+02	0.889
07:38.0	3.57E+02	0.874
07:39.0	3.58E+02	0.855
07:39.9	3.58E+02	0.832
07:40.8	3.59E+02	0.808
07:41.7	3.60E+02	0.781
07:42.7	3.61E+02	0.773
07:43.6	3.62E+02	0.766
07:44.5	3.63E+02	0.752
07:45.4	3.64E+02	0.734
07:46.3	3.65E+02	0.717
07:47.3	3.66E+02	0.701
07:48.2	3.67E+02	0.684
07:49.1	3.68E+02	0.666
07:50.0	3.69E+02	0.648
07:50.9	3.70E+02	0.632
07:51.9	3.70E+02	0.615
07:52.8	3.71E+02	0.598
07:53.7	3.72E+02	0.583
07:54.6	3.73E+02	0.566
07:55.5	3.74E+02	0.553
07:56.5	3.75E+02	0.536
07:57.4	3.76E+02	0.522
07:58.3	3.77E+02	0.507
07:59.2	3.78E+02	0.492
08:00.2	3.79E+02	0.478
08:01.1	3.80E+02	0.465
08:02.0	3.81E+02	0.452
08:02.9	3.82E+02	0.439
08:03.8	3.82E+02	0.426
08:04.8	3.83E+02	0.415
08:05.7	3.84E+02	0.402
08:06.6	3.85E+02	0.391
08:07.5	3.86E+02	0.379
08:08.5	3.87E+02	0.367
08:09.4	3.88E+02	0.356
08:10.3	3.89E+02	0.345
08:11.2	3.90E+02	0.334
08:12.1	3.91E+02	0.323
08:13.1	3.92E+02	0.313
08:14.0	3.93E+02	0.303
08:14.9	3.93E+02	0.294
08:15.8	3.94E+02	0.284
08:16.7	3.95E+02	0.275
08:17.7	3.96E+02	0.265
08:18.6	3.97E+02	0.257
08:19.5	3.98E+02	0.248
08:20.4	3.99E+02	0.24
08:21.4	4.00E+02	0.232
08:22.3	4.01E+02	0.224
08:23.2	4.02E+02	0.216
08:24.1	4.03E+02	0.209
08:25.0	4.04E+02	0.202
08:26.0	4.05E+02	0.195
08:26.9	4.05E+02	0.188
08:27.8	4.06E+02	0.181
08:28.7	4.07E+02	0.174
08:29.6	4.08E+02	0.168
08:30.6	4.09E+02	0.162
08:31.5	4.10E+02	0.156
08:32.4	4.11E+02	0.151
08:33.3	4.12E+02	0.145
08:34.2	4.13E+02	0.139
08:35.2	4.14E+02	0.134
08:36.1	4.15E+02	0.129
08:37.0	4.16E+02	0.124
08:37.9	4.17E+02	0.119
08:38.9	4.17E+02	0.114
08:39.8	4.18E+02	0.109
08:40.7	4.19E+02	0.104
08:41.6	4.20E+02	0.099
08:42.5	4.21E+02	0.095
08:43.5	4.22E+02	0.09
08:44.4	4.23E+02	0.085
08:45.3	4.24E+02	0.081
08:46.2	4.25E+02	0.078
08:47.2	4.26E+02	0.074
08:48.1	4.27E+02	0.07
08:49.0	4.28E+02	0.067
08:49.9	4.28E+02	0.063
08:50.8	4.29E+02	0.06
08:51.8	4.30E+02	0.057
08:52.7	4.31E+02	0.054
08:53.6	4.32E+02	0.051
08:54.5	4.33E+02	0.048
08:55.5	4.34E+02	0.045
08:56.4	4.35E+02	0.042
08:57.3	4.36E+02	0.039
08:58.2	4.37E+02	0.036
08:59.1	4.38E+02	0.034
09:00.1	4.39E+02	0.032
09:01.0	4.40E+02	0.029
09:01.9	4.40E+02	0.027
09:02.8	4.41E+02	0.025
09:03.7	4.42E+02	0.023
09:04.7	4.43E+02	0.02
09:05.6	4.44E+02	0.019
09:06.5	4.45E+02	0.016
09:07.4	4.46E+02	0.014
09:08.3	4.47E+02	0.013
09:09.3	4.48E+02	0.01
09:10.2	4.49E+02	0.009
09:11.1	4.50E+02	0.007
09:12.0	4.51E+02	0.005
09:13.0	4.52E+02	0.004
09:13.9	4.52E+02	0.002
09:14.8	4.53E+02	0.001
09:15.7	4.54E+02	-0.001
09:16.6	4.55E+02	-0.002
09:17.6	4.56E+02	-0.004
09:18.5	4.57E+02	-0.005
09:19.4	4.58E+02	-0.006
09:20.3	4.59E+02	-0.007
