Start time: Mon Jul 15 16:14:29 EST 2019
Trend type: Average Wavelength over [600.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:14:29.127	0.000000000E00	-0.130
16:14:30.049	9.220960172E-01	-0.130
16:14:30.971	1.843790101E00	-0.130
16:14:31.893	2.763775330E00	-0.130
16:14:32.815	3.686763536E00	-0.130
16:14:33.736	4.608107529E00	-0.024
16:14:34.658	5.529701129E00	1.482
16:14:35.580	6.451015681E00	1.476
16:14:36.502	7.372203509E00	1.425
16:14:37.424	8.294027517E00	1.392
16:14:38.346	9.215610878E00	1.351
16:14:39.268	1.013719808E01	1.307
16:14:40.190	1.105816126E01	1.259
16:14:41.111	1.197817529E01	1.216
16:14:42.033	1.290143934E01	1.171
16:14:42.955	1.382288958E01	1.132
16:14:43.877	1.474437118E01	1.092
16:14:44.799	1.566631359E01	1.050
16:14:45.720	1.658767358E01	1.011
16:14:46.642	1.750912638E01	0.971
16:14:47.564	1.843047485E01	0.931
16:14:48.486	1.935210237E01	0.893
16:14:49.408	2.027377726E01	0.855
16:14:50.330	2.119492860E01	0.817
16:14:51.251	2.211599355E01	0.780
16:14:52.173	2.303806844E01	0.745
16:14:53.095	2.395971901E01	0.712
16:14:54.017	2.488087739E01	0.677
16:14:54.939	2.580230779E01	0.645
16:14:55.861	2.672384635E01	0.615
16:14:56.783	2.764581756E01	0.583
16:14:57.705	2.856688954E01	0.554
16:14:58.626	2.948822330E01	0.527
16:14:59.548	3.040968121E01	0.501
16:15:00.470	3.133157050E01	0.475
16:15:01.392	3.225317818E01	0.451
16:15:02.314	3.317479611E01	0.428
16:15:03.220	3.409611066E01	0.405
16:15:04.142	3.501757689E01	0.383
16:15:05.063	3.593883384E01	0.362
16:15:05.985	3.686075642E01	0.343
16:15:06.907	3.778146871E01	0.325
16:15:07.829	3.870320631E01	0.307
16:15:08.751	3.962509880E01	0.289
16:15:09.673	4.054641784E01	0.273
16:15:10.595	4.146796087E01	0.256
16:15:11.517	4.238958968E01	0.240
16:15:12.438	4.331136056E01	0.226
16:15:13.360	4.423258039E01	0.212
16:15:14.282	4.515410679E01	0.200
16:15:15.204	4.607560375E01	0.188
16:15:16.126	4.699689910E01	0.177
16:15:17.048	4.791836854E01	0.166
16:15:17.969	4.884017206E01	0.156
16:15:18.891	4.976167542E01	0.146
16:15:19.813	5.068312310E01	0.137
16:15:20.735	5.160450421E01	0.128
16:15:21.657	5.252602869E01	0.120
16:15:22.578	5.344697779E01	0.112
16:15:23.501	5.436882804E01	0.105
16:15:24.422	5.529058740E01	0.098
16:15:25.344	5.621228917E01	0.091
16:15:26.266	5.713364084E01	0.085
16:15:27.188	5.805502388E01	0.080
16:15:28.110	5.897579697E01	0.074
16:15:29.032	5.989823796E01	0.069
16:15:29.953	6.081884145E01	0.065
16:15:30.875	6.174150004E01	0.060
16:15:31.797	6.266258227E01	0.056
16:15:32.719	6.358382898E01	0.052
16:15:33.641	6.450527217E01	0.048
16:15:34.563	6.542701682E01	0.045
16:15:35.485	6.634824241E01	0.042
16:15:36.406	6.727009266E01	0.039
16:15:37.328	6.819104496E01	0.036
16:15:38.250	6.911277808E01	0.033
16:15:39.172	7.003441136E01	0.031
16:15:40.094	7.095575472E01	0.029
16:15:41.015	7.187737712E01	0.026
16:15:41.937	7.279897264E01	0.024
16:15:42.844	7.371873386E01	0.022
16:15:43.781	7.464204208E01	0.020
16:15:44.687	7.556359024E01	0.018
16:15:45.609	7.648451117E01	0.016
16:15:46.531	7.740646575E01	0.015
16:15:47.453	7.832795182E01	0.013
16:15:48.375	7.924932974E01	0.011
16:15:49.297	8.017098734E01	0.010
16:15:50.218	8.109250030E01	0.008
16:15:51.140	8.201403118E01	0.008
16:15:52.062	8.293525229E01	0.006
16:15:52.984	8.385617387E01	0.005
16:15:53.906	8.477862701E01	0.004
16:15:54.828	8.570002285E01	0.003
16:15:55.750	8.662153005E01	0.002
16:15:56.671	8.754237354E01	0.001
16:15:57.593	8.846369001E01	0.000
16:15:58.515	8.938549482E01	-0.001
