Start time: Mon Jul 15 16:14:29 EST 2019		
"Trend type: Average Wavelength over [600.00, 700.00]"		
Trend offset: None		
>>>>>Begin Strip Chart Data<<<<<		
Date	Elapsed Time	Absorbance(Absorbance)
16:22.5	1.13E+02	-0.129
16:23.4	1.14E+02	-0.129
16:24.3	1.15E+02	-0.129
16:25.2	1.16E+02	-0.13
16:26.2	1.17E+02	-0.087
16:27.1	1.18E+02	1.553
16:28.0	1.19E+02	1.52
16:28.9	1.20E+02	1.477
16:29.8	1.21E+02	1.434
16:30.8	1.22E+02	1.392
16:31.7	1.23E+02	1.352
16:32.6	1.23E+02	1.309
16:33.5	1.24E+02	1.266
16:34.5	1.25E+02	1.228
16:35.4	1.26E+02	1.185
16:36.3	1.27E+02	1.142
16:37.2	1.28E+02	1.104
16:38.1	1.29E+02	1.064
16:39.1	1.30E+02	1.028
16:40.0	1.31E+02	0.989
16:40.9	1.32E+02	0.953
16:41.8	1.33E+02	0.917
16:42.7	1.34E+02	0.883
16:43.7	1.35E+02	0.847
16:44.6	1.35E+02	0.815
16:45.5	1.36E+02	0.781
16:46.4	1.37E+02	0.746
16:47.4	1.38E+02	0.712
16:48.3	1.39E+02	0.679
16:49.2	1.40E+02	0.647
16:50.1	1.41E+02	0.618
16:51.0	1.42E+02	0.59
16:52.0	1.43E+02	0.564
16:52.9	1.44E+02	0.539
16:53.8	1.45E+02	0.515
16:54.7	1.46E+02	0.491
16:55.7	1.47E+02	0.469
16:56.6	1.47E+02	0.448
16:57.5	1.48E+02	0.427
16:58.4	1.49E+02	0.407
16:59.3	1.50E+02	0.389
17:00.3	1.51E+02	0.37
17:01.2	1.52E+02	0.353
17:02.1	1.53E+02	0.337
17:03.0	1.54E+02	0.32
17:04.0	1.55E+02	0.304
17:04.9	1.56E+02	0.289
17:05.8	1.57E+02	0.275
17:06.7	1.58E+02	0.261
17:07.6	1.58E+02	0.248
17:08.5	1.59E+02	0.236
17:09.5	1.60E+02	0.224
17:10.4	1.61E+02	0.213
17:11.3	1.62E+02	0.203
17:12.2	1.63E+02	0.192
17:13.2	1.64E+02	0.182
17:14.1	1.65E+02	0.174
17:15.0	1.66E+02	0.165
17:15.9	1.67E+02	0.156
17:16.8	1.68E+02	0.149
17:17.8	1.69E+02	0.142
17:18.7	1.70E+02	0.135
17:19.6	1.70E+02	0.128
17:20.5	1.71E+02	0.122
17:21.5	1.72E+02	0.116
17:22.4	1.73E+02	0.11
17:23.3	1.74E+02	0.105
17:24.2	1.75E+02	0.1
17:25.1	1.76E+02	0.096
17:26.1	1.77E+02	0.09
17:27.0	1.78E+02	0.086
17:27.9	1.79E+02	0.082
17:28.8	1.80E+02	0.079
17:29.7	1.81E+02	0.076
17:30.7	1.82E+02	0.072
17:31.6	1.82E+02	0.072
17:32.5	1.83E+02	0.067
17:33.4	1.84E+02	0.062
17:34.4	1.85E+02	0.059
17:35.3	1.86E+02	0.057
17:36.2	1.87E+02	0.054
17:37.1	1.88E+02	0.052
17:38.0	1.89E+02	0.05
17:39.0	1.90E+02	0.048
17:39.9	1.91E+02	0.046
17:40.8	1.92E+02	0.044
17:41.7	1.93E+02	0.042
17:42.7	1.94E+02	0.04
17:43.6	1.94E+02	0.039
17:44.5	1.95E+02	0.038
17:45.4	1.96E+02	0.036
17:46.3	1.97E+02	0.035
17:47.3	1.98E+02	0.034
17:48.2	1.99E+02	0.032
17:49.1	2.00E+02	0.031
17:50.0	2.01E+02	0.031
17:50.9	2.02E+02	0.03
17:51.9	2.03E+02	0.03
17:52.8	2.04E+02	0.028
17:53.7	2.05E+02	0.027
17:54.6	2.05E+02	0.027
17:55.5	2.06E+02	0.026
17:56.5	2.07E+02	0.025
17:57.4	2.08E+02	0.024
17:58.3	2.09E+02	0.023
17:59.2	2.10E+02	0.022
18:00.2	2.11E+02	0.021
18:01.1	2.12E+02	0.021
18:02.0	2.13E+02	0.02
18:02.9	2.14E+02	0.02
18:03.8	2.15E+02	0.019
18:04.8	2.16E+02	0.019
18:05.7	2.17E+02	0.018
18:06.6	2.17E+02	0.018
18:07.5	2.18E+02	0.017
18:08.4	2.19E+02	0.017
18:09.4	2.20E+02	0.016
18:10.3	2.21E+02	0.016
18:11.2	2.22E+02	0.016
18:12.1	2.23E+02	0.016
18:13.1	2.24E+02	0.015
18:14.0	2.25E+02	0.015
18:14.9	2.26E+02	0.015
18:15.8	2.27E+02	0.015
18:16.7	2.28E+02	0.014
18:17.7	2.29E+02	0.014
18:18.6	2.29E+02	0.014
18:19.5	2.30E+02	0.013
18:20.4	2.31E+02	0.013
18:21.4	2.32E+02	0.013
18:22.3	2.33E+02	0.013
18:23.2	2.34E+02	0.013
18:24.1	2.35E+02	0.012
18:25.0	2.36E+02	0.013
18:26.0	2.37E+02	0.012
18:26.9	2.38E+02	0.012
18:27.8	2.39E+02	0.012
18:28.7	2.40E+02	0.012
18:29.6	2.41E+02	0.012
18:30.6	2.41E+02	0.011
18:31.5	2.42E+02	0.011
18:32.4	2.43E+02	0.011
18:33.3	2.44E+02	0.011
18:34.2	2.45E+02	0.011
18:35.2	2.46E+02	0.011
18:36.1	2.47E+02	0.011
18:37.0	2.48E+02	0.011
18:37.9	2.49E+02	0.011
18:38.9	2.50E+02	0.011
18:39.8	2.51E+02	0.011
18:40.7	2.52E+02	0.01
18:41.6	2.52E+02	0.01
18:42.5	2.53E+02	0.01
18:43.5	2.54E+02	0.01
