Start time: Mon Jul 15 16:21:53 EST 2019
Trend type: Average Wavelength over [600.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:21:53.492	0.000000000E00	-0.126
16:21:54.414	9.197458605E-01	-0.126
16:21:55.336	1.843320326E00	-0.126
16:21:56.258	2.764980489E00	-0.126
16:21:57.180	3.686732815E00	-0.125
16:21:58.102	4.607731836E00	-0.126
16:21:59.023	5.529247355E00	0.048
16:21:59.945	6.450986240E00	1.326
16:22:00.867	7.372476798E00	1.313
16:22:01.789	8.293949435E00	1.231
16:22:02.711	9.215681920E00	1.162
16:22:03.633	1.013524601E01	1.100
16:22:04.554	1.105849535E01	1.031
16:22:05.476	1.197968638E01	0.967
16:22:06.398	1.290144958E01	0.911
16:22:07.320	1.382288254E01	0.860
16:22:08.242	1.474396284E01	0.802
16:22:09.164	1.566553852E01	0.742
16:22:10.086	1.658712828E01	0.692
16:22:11.007	1.750886333E01	0.645
16:22:11.929	1.843027004E01	0.601
16:22:12.851	1.935158268E01	0.558
16:22:13.773	2.027378430E01	0.518
16:22:14.695	2.119552830E01	0.482
16:22:15.617	2.211662653E01	0.448
16:22:16.538	2.303728122E01	0.415
16:22:17.460	2.395852345E01	0.382
16:22:18.382	2.488086139E01	0.351
16:22:19.304	2.580238203E01	0.322
16:22:20.226	2.672379642E01	0.295
16:22:21.148	2.764545723E01	0.270
16:22:22.070	2.856684090E01	0.246
16:22:22.991	2.948864891E01	0.224
16:22:23.913	3.040975481E01	0.203
16:22:24.835	3.133122681E01	0.185
16:22:25.757	3.225265401E01	0.167
16:22:26.679	3.317436793E01	0.150
16:22:27.601	3.409571704E01	0.135
16:22:28.522	3.501683639E01	0.121
16:22:29.444	3.593886584E01	0.107
16:22:30.366	3.685968950E01	0.095
16:22:31.288	3.778233338E01	0.084
16:22:32.194	3.870193139E01	0.073
16:22:33.116	3.962437878E01	0.063
16:22:34.038	4.054658424E01	0.054
16:22:34.960	4.146582448E01	0.046
16:22:35.882	4.238944439E01	0.039
16:22:36.803	4.331096631E01	0.031
16:22:37.725	4.423209398E01	0.025
16:22:38.647	4.515385270E01	0.019
16:22:39.569	4.607515765E01	0.013
16:22:40.491	4.699677941E01	0.009
16:22:41.413	4.791785780E01	0.004
16:22:42.334	4.883828144E01	-0.001
16:22:43.256	4.975972144E01	-0.005
16:22:44.178	5.068294325E01	-0.008
16:22:45.100	5.160433205E01	-0.012
16:22:46.022	5.252582324E01	-0.015
16:22:46.944	5.344541742E01	-0.018
16:22:47.866	5.436833778E01	-0.020
16:22:48.787	5.528962289E01	-0.023
16:22:49.709	5.621173171E01	-0.025
16:22:50.631	5.713310066E01	-0.027
16:22:51.553	5.805484275E01	-0.029
16:22:52.475	5.897620850E01	-0.031
16:22:53.397	5.989776690E01	-0.033
16:22:54.319	6.081928946E01	-0.034
16:22:55.240	6.174002991E01	-0.035
