Start time: Mon Jul 15 16:25:39 EST 2019
Trend type: Average Wavelength over [600.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:25:39.267	0.000000000E00	-0.138
16:25:40.189	9.217836870E-01	-0.138
16:25:41.111	1.843212802E00	-0.138
16:25:42.033	2.764647038E00	-0.138
16:25:42.955	3.686672013E00	-0.138
16:25:43.877	4.607636473E00	-0.138
16:25:44.799	5.528958065E00	-0.138
16:25:45.721	6.450863996E00	-0.138
16:25:46.642	7.372426236E00	0.027
16:25:47.564	8.292836438E00	1.323
16:25:48.486	9.214757730E00	1.257
16:25:49.408	1.013615612E01	1.220
16:25:50.330	1.105826558E01	1.163
16:25:51.252	1.197959677E01	1.092
16:25:52.174	1.290119742E01	1.007
16:25:53.095	1.382281342E01	0.924
16:25:54.017	1.474428157E01	0.840
16:25:54.923	1.566523899E01	0.768
16:25:55.845	1.658689724E01	0.699
16:25:56.767	1.750879485E01	0.634
16:25:57.689	1.843024444E01	0.575
16:25:58.611	1.935168764E01	0.523
16:25:59.533	2.027333820E01	0.476
16:26:00.454	2.119484348E01	0.433
16:26:01.376	2.211623611E01	0.395
16:26:02.298	2.303773883E01	0.358
16:26:03.220	2.395840632E01	0.325
16:26:04.142	2.488081083E01	0.294
16:26:05.064	2.580211450E01	0.266
16:26:05.985	2.672225269E01	0.239
16:26:06.907	2.764535930E01	0.215
16:26:07.829	2.856627640E01	0.193
16:26:08.751	2.948810937E01	0.173
16:26:09.673	3.040980474E01	0.155
16:26:10.595	3.133142458E01	0.140
16:26:11.517	3.225249464E01	0.125
16:26:12.438	3.317407800E01	0.112
16:26:13.360	3.409603961E01	0.100
16:26:14.282	3.501657270E01	0.090
16:26:15.204	3.593802870E01	0.080
16:26:16.126	3.686024504E01	0.071
16:26:17.048	3.778131894E01	0.064
16:26:17.970	3.870350904E01	0.057
16:26:18.891	3.962329522E01	0.051
16:26:19.813	4.054624119E01	0.045
16:26:20.735	4.146738678E01	0.040
16:26:21.657	4.238907958E01	0.035
16:26:22.579	4.331057846E01	0.031
16:26:23.500	4.423132979E01	0.028
16:26:24.422	4.515355701E01	0.024
16:26:25.344	4.607515637E01	0.021
16:26:26.266	4.699521008E01	0.019
16:26:27.188	4.791825909E01	0.017
16:26:28.110	4.883913779E01	0.014
16:26:29.032	4.976068083E01	0.013
16:26:29.953	5.068057965E01	0.012
16:26:30.875	5.160363122E01	0.010
16:26:31.797	5.252550195E01	0.008
16:26:32.719	5.344544942E01	0.008
16:26:33.641	5.436807665E01	0.005
16:26:34.563	5.528963633E01	0.004
16:26:35.469	5.621099121E01	0.003
16:26:36.391	5.713177070E01	0.002
16:26:37.312	5.805360111E01	0.001
16:26:38.234	5.897567601E01	-0.000
16:26:39.156	5.989732913E01	-0.001
