Start time: Mon Jul 15 16:30:57 EST 2019
Trend type: Average Wavelength over [600.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:30:57.180	0.000000000E00	-0.138
16:30:58.102	9.208198156E-01	-0.137
16:30:59.024	1.842460778E00	-0.137
16:30:59.946	2.764052459E00	-0.137
16:31:00.868	3.684975958E00	-0.137
16:31:01.789	4.606711643E00	0.237
16:31:02.711	5.528778219E00	1.159
16:31:03.633	6.450742392E00	1.076
16:31:04.555	7.371466205E00	0.990
16:31:05.477	8.293120607E00	0.909
16:31:06.399	9.214367957E00	0.830
16:31:07.321	1.013622333E01	0.753
16:31:08.242	1.105626808E01	0.680
16:31:09.164	1.197831097E01	0.612
16:31:10.086	1.289972921E01	0.549
16:31:11.008	1.382214011E01	0.491
16:31:11.930	1.474148724E01	0.436
16:31:12.852	1.566484346E01	0.387
16:31:13.774	1.658633978E01	0.343
16:31:14.696	1.750830011E01	0.303
16:31:15.618	1.842948858E01	0.267
16:31:16.540	1.935061560E01	0.235
16:31:17.462	2.027239801E01	0.206
16:31:18.383	2.119382393E01	0.180
16:31:19.305	2.211568122E01	0.158
16:31:20.227	2.303700665E01	0.138
16:31:21.149	2.395727477E01	0.121
16:31:22.070	2.488005817E01	0.104
16:31:22.992	2.580158520E01	0.090
16:31:23.898	2.672068336E01	0.077
16:31:24.821	2.764451960E01	0.067
16:31:25.743	2.856613560E01	0.058
16:31:26.664	2.948773688E01	0.050
16:31:27.586	3.040881590E01	0.042
16:31:28.508	3.133057463E01	0.036
16:31:29.430	3.225206647E01	0.032
16:31:30.352	3.317332022E01	0.029
16:31:31.273	3.409422132E01	0.024
16:31:32.195	3.501620469E01	0.021
16:31:33.117	3.593816758E01	0.018
16:31:34.039	3.685947253E01	0.015
16:31:34.961	3.778047603E01	0.012
16:31:35.883	3.870240373E01	0.010
16:31:36.805	3.962346675E01	0.007
16:31:37.727	4.054587638E01	0.006
16:31:38.649	4.146641586E01	0.003
16:31:39.571	4.238793394E01	0.002
16:31:40.493	4.330995764E01	-0.006
16:31:41.414	4.423172020E01	-0.003
16:31:42.336	4.515307252E01	-0.001
16:31:43.258	4.607484212E01	0.000
16:31:44.180	4.699606387E01	-0.001
16:31:45.102	4.791744627E01	-0.002
16:31:46.024	4.883824560E01	-0.002
