Start time: Mon Jul 22 16:46:20 EST 2019
Trend type: Average Wavelength over [550.00, 680.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:46:20.312	0.000000000E00	0.024
16:46:21.234	9.218234371E-01	0.024
16:46:22.156	1.842709221E00	0.024
16:46:23.078	2.764628024E00	0.024
16:46:24.000	3.686422019E00	0.024
16:46:24.922	4.607468453E00	0.024
16:46:25.843	5.529154282E00	0.024
16:46:26.765	6.450731945E00	0.024
16:46:27.687	7.372066395E00	0.024
16:46:28.609	8.293581334E00	0.024
16:46:29.531	9.215311966E00	0.510
16:46:30.437	1.013641024E01	1.334
16:46:31.359	1.105790214E01	1.319
16:46:32.281	1.197942924E01	1.306
16:46:33.203	1.290094610E01	1.298
16:46:34.125	1.382199125E01	1.286
16:46:35.046	1.474428192E01	1.277
16:46:35.968	1.566609831E01	1.266
16:46:36.890	1.658715819E01	1.257
16:46:37.812	1.750899827E01	1.248
16:46:38.734	1.843002102E01	1.235
16:46:39.656	1.935196286E01	1.227
16:46:40.578	2.027373958E01	1.216
16:46:41.500	2.119502218E01	1.205
16:46:42.421	2.211630671E01	1.193
16:46:43.343	2.303805398E01	1.182
16:46:44.265	2.395967261E01	1.170
16:46:45.187	2.488080225E01	1.161
16:46:46.109	2.580278121E01	1.152
16:46:47.031	2.672397101E01	1.142
16:46:47.953	2.764545843E01	1.132
16:46:48.874	2.856681016E01	1.127
16:46:49.796	2.948854976E01	1.117
16:46:50.718	3.040984196E01	1.109
16:46:51.640	3.133146443E01	1.098
16:46:52.562	3.225303889E01	1.090
16:46:53.484	3.317430934E01	1.084
16:46:54.406	3.409539481E01	1.074
16:46:55.328	3.501752355E01	1.065
16:46:56.249	3.593912745E01	1.054
16:46:57.171	3.686046062E01	1.044
16:46:58.093	3.778186483E01	1.033
16:46:59.015	3.870407229E01	1.022
16:46:59.937	3.962513217E01	1.012
16:47:00.859	4.054639749E01	1.002
16:47:01.781	4.146829261E01	0.991
16:47:02.702	4.238970643E01	0.982
16:47:03.624	4.331123737E01	0.972
16:47:04.546	4.423250461E01	0.962
16:47:05.468	4.515427429E01	0.952
16:47:06.390	4.607561578E01	0.942
16:47:07.312	4.699712560E01	0.933
16:47:08.234	4.791841204E01	0.922
16:47:09.156	4.884029565E01	0.913
16:47:10.078	4.976194819E01	0.905
16:47:10.999	5.068330056E01	0.896
16:47:11.906	5.160487695E01	0.885
16:47:12.827	5.252631444E01	0.877
16:47:13.749	5.344754009E01	0.868
16:47:14.671	5.436919647E01	0.858
16:47:15.593	5.529121640E01	0.849
16:47:16.515	5.621264622E01	0.840
16:47:17.437	5.713454838E01	0.830
16:47:18.359	5.805552185E01	0.821
16:47:19.280	5.897678589E01	0.812
16:47:20.202	5.989833411E01	0.803
16:47:21.124	6.081997322E01	0.794
16:47:22.046	6.174100685E01	0.784
16:47:22.968	6.266325527E01	0.774
16:47:23.890	6.358443612E01	0.764
16:47:24.812	6.450633380E01	0.755
16:47:25.734	6.542790890E01	0.746
16:47:26.655	6.634899246E01	0.737
16:47:27.577	6.727040819E01	0.728
16:47:28.499	6.819130741E01	0.719
16:47:29.421	6.911393602E01	0.710
16:47:30.343	7.003483652E01	0.701
16:47:31.265	7.095658443E01	0.692
16:47:32.187	7.187834131E01	0.682
16:47:33.109	7.279932822E01	0.675
16:47:34.030	7.372109789E01	0.665
16:47:34.952	7.464244130E01	0.657
