Start time: Mon Jul 22 16:34:06 EST 2019
Trend type: Average Wavelength over [550.00, 680.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:34:06.787	0.000000000E00	0.024
16:34:07.709	9.213357296E-01	0.024
16:34:08.631	1.843164287E00	0.024
16:34:09.553	2.763971347E00	0.024
16:35:14.052	6.727108151E01	0.024
16:35:14.974	6.819196217E01	0.024
16:35:15.896	6.911419267E01	0.024
16:35:16.818	7.003507398E01	0.024
16:35:17.740	7.095665676E01	0.024
16:35:18.662	7.187850644E01	0.024
16:35:19.584	7.279949847E01	0.024
16:35:20.506	7.372120542E01	0.024
16:35:21.427	7.464318502E01	0.024
16:35:22.349	7.556392744E01	0.024
16:35:23.271	7.648545198E01	0.024
16:35:24.193	7.740719733E01	0.024
16:35:25.115	7.832877628E01	0.024
16:35:26.037	7.925048259E01	0.024
16:35:26.959	8.017209929E01	0.024
16:35:27.880	8.109349839E01	0.024
16:35:28.802	8.201521878E01	0.024
16:35:29.724	8.293655003E01	0.024
16:35:30.646	8.385749725E01	0.024
16:35:31.568	8.477970343E01	0.024
16:35:32.490	8.570046377E01	0.024
16:35:33.412	8.662231729E01	0.024
16:35:34.333	8.754399096E01	0.024
16:35:35.255	8.846574399E01	0.024
16:35:36.162	8.938716613E01	0.024
16:35:37.083	9.030839497E01	0.157
16:35:38.005	9.123032401E01	0.985
16:35:38.927	9.215164374E01	0.964
16:35:39.849	9.307310556E01	0.971
16:35:40.771	9.399462562E01	0.968
16:35:41.693	9.491645225E01	0.948
16:35:42.615	9.583774382E01	0.927
16:35:43.537	9.675888818E01	0.907
16:35:44.458	9.768076794E01	0.888
16:35:45.380	9.860230144E01	0.869
16:35:46.302	9.952360837E01	0.850
16:35:47.224	1.004454676E02	0.830
16:35:48.146	1.013666927E02	0.811
16:35:49.068	1.022885500E02	0.792
16:35:49.990	1.032101686E02	0.774
16:35:50.912	1.041311287E02	0.756
16:35:51.833	1.050530673E02	0.737
16:35:52.755	1.059746085E02	0.719
16:35:53.677	1.068959353E02	0.701
16:35:54.599	1.078176966E02	0.684
16:35:55.521	1.087386989E02	0.665
16:35:56.443	1.096608084E02	0.649
16:35:57.365	1.105813537E02	0.631
16:35:58.286	1.115032386E02	0.614
16:35:59.208	1.124251049E02	0.598
16:36:00.130	1.133463293E02	0.582
16:36:01.052	1.142679280E02	0.567
16:36:01.974	1.151894276E02	0.552
16:36:02.896	1.161114968E02	0.537
16:36:03.818	1.170322028E02	0.522
16:36:04.740	1.179538694E02	0.506
16:36:05.661	1.188756192E02	0.491
16:36:06.583	1.197974804E02	0.477
16:36:07.505	1.207191119E02	0.463
16:36:08.427	1.216403740E02	0.449
16:36:09.349	1.225616713E02	0.436
16:36:10.271	1.234833168E02	0.422
16:36:11.193	1.244046762E02	0.409
16:36:12.114	1.253259409E02	0.396
16:36:13.036	1.262476517E02	0.383
16:36:13.958	1.271694015E02	0.371
16:36:14.880	1.280909216E02	0.359
16:36:15.802	1.290123969E02	0.347
16:36:16.708	1.299338523E02	0.336
16:36:17.630	1.308556501E02	0.325
16:36:18.552	1.317766594E02	0.314
16:36:19.474	1.326985360E02	0.304
16:36:20.396	1.336200228E02	0.294
16:36:21.318	1.345412222E02	0.285
16:36:22.239	1.354630712E02	0.275
16:36:23.161	1.363838283E02	0.266
16:36:24.083	1.373058329E02	0.257
16:36:25.005	1.382276295E02	0.248
16:36:25.927	1.391480602E02	0.239
16:36:26.849	1.400698945E02	0.231
16:36:27.771	1.409916559E02	0.223
16:36:28.692	1.419136214E02	0.216
16:36:29.614	1.428347216E02	0.208
16:36:30.536	1.437564042E02	0.201
