Start time: Mon Jul 22 16:12:11 EST 2019
Trend type: Average Wavelength over [550.00, 680.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:12:11.580	0.000000000E00	0.023
16:12:12.501	9.213696515E-01	0.023
16:15:41.687	2.101056175E02	0.022
16:15:42.609	2.110272329E02	0.022
16:15:43.516	2.119486896E02	0.022
16:15:44.437	2.128699383E02	0.023
16:15:45.359	2.137922309E02	0.023
16:15:46.281	2.147129445E02	0.023
16:15:47.203	2.156352217E02	0.023
16:15:48.125	2.165563565E02	0.023
16:15:49.047	2.174778496E02	0.022
16:15:49.969	2.183988698E02	0.023
16:15:50.890	2.193203758E02	0.023
16:15:51.812	2.202427209E02	0.023
16:15:52.734	2.211640412E02	0.023
16:15:53.656	2.220855837E02	0.023
16:15:54.578	2.230064983E02	0.116
16:15:55.500	2.239279889E02	1.121
16:15:56.422	2.248495986E02	1.085
16:15:57.344	2.257711020E02	1.074
16:15:58.265	2.266939168E02	1.063
16:15:59.187	2.276148942E02	1.038
16:16:00.109	2.285357902E02	1.003
16:16:01.031	2.294583215E02	0.971
16:16:01.953	2.303791247E02	0.945
16:16:02.875	2.313005475E02	0.923
16:16:03.797	2.322219952E02	0.901
16:16:04.718	2.331435690E02	0.878
16:16:05.640	2.340644779E02	0.854
16:16:06.562	2.349860632E02	0.833
16:16:07.484	2.359083276E02	0.812
16:16:08.406	2.368296128E02	0.790
16:16:09.328	2.377510983E02	0.770
16:16:10.250	2.386729518E02	0.750
16:16:11.172	2.395945666E02	0.729
16:16:12.094	2.405158191E02	0.709
16:16:13.015	2.414375875E02	0.688
16:16:13.937	2.423590756E02	0.666
16:16:14.859	2.432805240E02	0.645
16:16:15.781	2.442019653E02	0.623
16:16:16.703	2.451232914E02	0.602
16:16:17.625	2.460452173E02	0.580
16:16:18.546	2.469663795E02	0.559
16:16:19.468	2.478879489E02	0.538
16:16:20.390	2.488093275E02	0.518
16:16:21.312	2.497309692E02	0.498
16:16:22.234	2.506523459E02	0.479
16:16:23.140	2.515745188E02	0.461
16:16:24.078	2.524960247E02	0.443
16:16:24.984	2.534177470E02	0.426
16:16:25.906	2.543385823E02	0.409
16:16:26.828	2.552603852E02	0.393
16:16:27.750	2.561810758E02	0.378
16:16:28.671	2.571033306E02	0.363
16:16:29.593	2.580246433E02	0.348
16:16:30.515	2.589462882E02	0.334
16:16:31.437	2.598674876E02	0.319
16:16:32.359	2.607893264E02	0.305
16:16:33.281	2.617096950E02	0.293
16:16:34.203	2.626321214E02	0.280
16:16:35.125	2.635537131E02	0.269
16:16:36.046	2.644755052E02	0.258
16:16:36.968	2.653966502E02	0.248
16:16:37.890	2.663178720E02	0.239
16:16:38.812	2.672397249E02	0.230
16:16:39.734	2.681607591E02	0.221
16:16:40.656	2.690823733E02	0.212
16:16:41.578	2.700044924E02	0.203
16:16:42.500	2.709258153E02	0.195
16:16:43.421	2.718468835E02	0.188
16:16:44.343	2.727690833E02	0.180
16:16:45.265	2.736900849E02	0.172
16:16:46.187	2.746122175E02	0.165
16:16:47.109	2.755333971E02	0.158
16:16:48.031	2.764547987E02	0.152
16:16:48.952	2.773764430E02	0.146
16:16:49.874	2.782981262E02	0.140
16:16:50.796	2.792191189E02	0.134
16:16:51.718	2.801406844E02	0.129
16:16:52.640	2.810624278E02	0.123
16:16:53.562	2.819838148E02	0.119
16:16:54.484	2.829050974E02	0.114
16:16:55.406	2.838270271E02	0.110
16:16:56.327	2.847486156E02	0.106
16:16:57.249	2.856697376E02	0.102
16:16:58.171	2.865911578E02	0.098
16:16:59.093	2.875131687E02	0.095
16:17:00.015	2.884341902E02	0.091
16:17:00.937	2.893556181E02	0.088
16:17:01.859	2.902774831E02	0.085
16:17:02.781	2.911988522E02	0.082
16:17:03.687	2.921202609E02	0.080
16:17:04.624	2.930420971E02	0.078
16:17:05.530	2.939641733E02	0.075
16:17:06.452	2.948856076E02	0.073
16:17:07.374	2.958065696E02	0.071
16:17:08.296	2.967282881E02	0.069
16:17:09.218	2.976499496E02	0.066
16:17:10.140	2.985712341E02	0.065
16:17:11.062	2.994931055E02	0.063
16:17:11.984	3.004138070E02	0.061
16:17:12.905	3.013358384E02	0.060
16:17:13.827	3.022571114E02	0.058
16:17:14.749	3.031793061E02	0.057
16:17:15.671	3.041003410E02	0.056
16:17:16.593	3.050215180E02	0.054
16:17:17.515	3.059436384E02	0.054
16:17:18.437	3.068650574E02	0.052
16:17:19.359	3.077863969E02	0.051
16:17:20.280	3.087078587E02	0.050
