Start time: Mon Jul 22 16:05:39 EST 2019
Trend type: Average Wavelength over [550.00, 680.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:05:39.928	0.000000000E00	0.023
16:05:40.850	9.214061336E-01	0.023
16:05:41.772	1.842631137E00	0.023
16:05:42.694	2.764080153E00	0.023
16:05:43.616	3.685918951E00	0.023
16:05:44.537	4.607833273E00	0.023
16:05:45.459	5.529146602E00	0.023
16:05:46.381	6.450344723E00	0.023
16:05:47.303	7.372136799E00	0.023
16:05:48.225	8.293274117E00	0.024
16:05:49.147	9.214924745E00	0.024
16:05:50.069	1.013627840E01	0.449
16:05:50.991	1.105766725E01	1.083
16:05:51.912	1.197904074E01	1.026
16:05:52.834	1.290047887E01	0.997
16:05:53.756	1.382210006E01	1.001
16:05:54.678	1.474324762E01	0.962
16:05:55.600	1.566570917E01	0.925
16:05:56.522	1.658751853E01	0.894
16:05:57.444	1.750842095E01	0.870
16:05:58.365	1.842965428E01	0.851
16:05:59.287	1.935118650E01	0.822
16:06:00.209	2.027301634E01	0.795
16:06:01.131	2.119418118E01	0.766
16:06:02.053	2.211618446E01	0.732
16:06:02.975	2.303753683E01	0.702
16:06:03.897	2.395889176E01	0.674
16:06:04.819	2.488039326E01	0.646
16:06:05.740	2.580227814E01	0.619
16:06:06.662	2.672401838E01	0.590
16:06:07.569	2.764533555E01	0.563
16:06:08.490	2.856708346E01	0.537
16:06:09.412	2.948889409E01	0.511
16:06:10.334	3.040978884E01	0.484
16:06:11.256	3.133106953E01	0.460
16:06:12.178	3.225265103E01	0.435
16:06:13.100	3.317416149E01	0.413
16:06:14.022	3.409518296E01	0.392
16:06:14.943	3.501714785E01	0.371
16:06:15.865	3.593879527E01	0.352
16:06:16.787	3.686040238E01	0.332
16:06:17.709	3.778159282E01	0.315
16:06:18.631	3.870356794E01	0.298
16:06:19.553	3.962487103E01	0.282
16:06:20.475	4.054666695E01	0.266
16:06:21.397	4.146809548E01	0.251
16:06:22.319	4.238967187E01	0.238
16:06:23.240	4.331055573E01	0.224
16:06:24.162	4.423199963E01	0.212
16:06:25.084	4.515408420E01	0.200
16:06:26.006	4.607556586E01	0.188
16:06:26.928	4.699686830E01	0.178
16:06:27.850	4.791859638E01	0.167
16:06:28.771	4.884002683E01	0.158
16:06:29.693	4.976171906E01	0.149
16:06:30.615	5.068257668E01	0.140
16:06:31.537	5.160494287E01	0.132
16:06:32.459	5.252640469E01	0.125
16:06:33.381	5.344802907E01	0.118
16:06:34.303	5.436926048E01	0.111
16:06:35.225	5.529101287E01	0.105
16:06:36.146	5.621253229E01	0.099
16:06:37.068	5.713409075E01	0.093
16:06:37.990	5.805509174E01	0.088
16:06:38.912	5.897686142E01	0.083
16:06:39.834	5.989814658E01	0.079
16:06:40.756	6.081986954E01	0.075
16:06:41.678	6.174142544E01	0.071
16:06:42.600	6.266249363E01	0.067
16:06:43.521	6.358402137E01	0.064
16:06:44.443	6.450581793E01	0.061
16:06:45.365	6.542776361E01	0.057
16:06:46.271	6.634829546E01	0.055
16:06:47.193	6.727022130E01	0.052
16:06:48.115	6.819192569E01	0.050
16:06:49.037	6.911350335E01	0.047
16:06:49.959	7.003455171E01	0.045
16:06:50.881	7.095561606E01	0.043
16:06:51.803	7.187810321E01	0.042
16:06:52.724	7.279877459E01	0.040
16:06:53.646	7.372084316E01	0.038
16:06:54.568	7.464257443E01	0.037
16:06:55.490	7.556433770E01	0.035
16:06:56.412	7.648534317E01	0.034
16:06:57.334	7.740737078E01	0.032
16:06:58.256	7.832874876E01	0.032
16:06:59.178	7.924991936E01	0.031
16:07:00.099	8.017148486E01	0.029
16:07:01.021	8.109333838E01	0.028
16:07:01.943	8.201453330E01	0.028
16:07:02.865	8.293582167E01	0.027
16:07:03.787	8.385742237E01	0.026
16:07:04.709	8.477905508E01	0.025
16:07:05.631	8.570076971E01	0.025
16:07:06.553	8.662241841E01	0.024
16:07:07.474	8.754402744E01	0.023
16:07:08.396	8.846459257E01	0.023
16:07:09.318	8.938626047E01	0.022
16:07:10.240	9.030834057E01	0.022
16:07:11.162	9.123016208E01	0.021
16:07:12.084	9.215136404E01	0.021
16:07:13.006	9.307256857E01	0.021
16:07:13.927	9.399409951E01	0.020
16:07:14.849	9.491543460E01	0.020
16:07:15.771	9.583662440E01	0.020
16:07:16.693	9.675881202E01	0.019
16:07:17.615	9.768009718E01	0.019
16:07:18.537	9.860214655E01	0.019
16:07:19.459	9.952318531E01	0.018
16:07:20.380	1.004451163E02	0.018
16:07:21.303	1.013660469E02	0.018
16:07:22.224	1.022878908E02	0.018
16:07:23.146	1.032097309E02	0.018
16:07:24.068	1.041308599E02	0.018
16:07:24.990	1.050523703E02	0.017
16:07:25.912	1.059741809E02	0.017
16:07:26.834	1.068955461E02	0.017
16:07:27.740	1.078166182E02	0.017
16:07:28.677	1.087389901E02	0.016
16:07:29.584	1.096602548E02	0.016
16:07:30.505	1.105812366E02	0.016
16:07:31.427	1.115031387E02	0.016
16:07:32.349	1.124249353E02	0.016
16:07:33.271	1.133458934E02	0.016
16:07:34.193	1.142676240E02	0.016
16:07:35.115	1.151893726E02	0.016
16:07:36.037	1.161110207E02	0.016
16:07:36.959	1.170324197E02	0.016
16:07:37.880	1.179541517E02	0.015
16:07:38.802	1.188751219E02	0.015
16:07:39.724	1.197965997E02	0.015
16:07:40.646	1.207182280E02	0.015
16:07:41.568	1.216398082E02	0.015
16:07:42.490	1.225611785E02	0.015
16:07:43.412	1.234831152E02	0.015
16:07:44.333	1.244042122E02	0.015
16:07:45.255	1.253259934E02	0.015
