Start time: Mon Jul 22 15:42:52 EST 2019
Trend type: Average Wavelength over [550.00, 680.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
15:42:52.395	0.000000000E00	0.020
15:42:53.317	9.210937960E-01	0.020
15:42:54.239	1.842081346E00	0.020
15:42:55.161	2.764738110E00	0.020
15:42:56.082	3.685102265E00	0.020
15:42:57.004	4.607430690E00	0.020
15:42:57.926	5.529415417E00	0.020
15:42:58.848	6.450481051E00	0.020
15:42:59.770	7.371823821E00	0.020
15:43:00.692	8.293092347E00	0.020
15:43:01.614	9.214320551E00	0.020
15:43:02.536	1.013664386E01	0.021
15:43:03.457	1.105809735E01	0.020
15:43:04.379	1.197921035E01	0.020
15:43:05.301	1.290065360E01	0.021
15:43:06.223	1.382191957E01	0.021
15:43:07.145	1.474393118E01	0.020
15:43:08.067	1.566563237E01	0.020
15:43:08.989	1.658705578E01	0.020
15:43:09.911	1.750817582E01	0.020
15:43:10.832	1.842968244E01	0.535
15:43:11.754	1.935141243E01	0.818
15:43:12.676	2.027317635E01	0.778
15:43:13.598	2.119393476E01	0.740
15:43:14.520	2.211628047E01	0.702
15:43:15.442	2.303709201E01	0.665
15:43:16.364	2.395870615E01	0.630
15:43:17.285	2.488048351E01	0.596
15:43:18.207	2.580129761E01	0.563
15:43:19.129	2.672356715E01	0.530
15:43:20.051	2.764535219E01	0.499
15:43:20.973	2.856642422E01	0.469
15:43:21.895	2.948830398E01	0.441
15:43:22.817	3.040913024E01	0.414
15:43:23.738	3.133127050E01	0.389
15:43:24.661	3.225222605E01	0.364
15:43:25.582	3.317419413E01	0.340
15:43:26.504	3.409599453E01	0.318
15:43:27.426	3.501745314E01	0.298
15:43:28.348	3.593889768E01	0.278
15:43:29.270	3.686030893E01	0.259
15:43:30.176	3.778168242E01	0.241
15:43:31.098	3.870296183E01	0.223
15:43:32.020	3.962508352E01	0.207
15:43:32.942	4.054641733E01	0.193
15:43:33.863	4.146835086E01	0.179
15:43:34.785	4.238917136E01	0.166
15:43:35.707	4.331090711E01	0.155
15:43:36.629	4.423270175E01	0.143
15:43:37.551	4.515406628E01	0.132
15:43:38.473	4.607523752E01	0.122
15:43:39.395	4.699701167E01	0.113
15:43:40.317	4.791846581E01	0.104
15:43:41.239	4.883990522E01	0.097
15:43:42.160	4.976126207E01	0.090
15:43:43.082	5.068363018E01	0.083
15:43:44.004	5.160433292E01	0.077
15:43:44.926	5.252634196E01	0.071
15:43:45.848	5.344710998E01	0.066
15:43:46.770	5.436941153E01	0.062
15:43:47.691	5.529042084E01	0.057
15:43:48.613	5.621209451E01	0.053
15:43:49.535	5.713367473E01	0.050
15:43:50.457	5.805477941E01	0.046
15:43:51.379	5.897672445E01	0.044
15:43:52.301	5.989828739E01	0.041
15:43:53.223	6.081963592E01	0.039
15:43:54.144	6.174128655E01	0.037
15:43:55.066	6.266225042E01	0.034
15:43:55.988	6.358426523E01	0.033
15:43:56.910	6.450523165E01	0.031
15:43:57.832	6.542661667E01	0.029
15:43:58.754	6.634892077E01	0.028
15:43:59.676	6.727048691E01	0.027
15:44:00.598	6.819189753E01	0.026
15:44:01.519	6.911344511E01	0.024
15:44:02.441	7.003527175E01	0.023
15:44:03.363	7.095632394E01	0.022
15:44:04.285	7.187753998E01	0.021
15:44:05.207	7.279961943E01	0.020
15:44:06.129	7.372100445E01	0.019
15:44:07.051	7.464204640E01	0.019
15:44:07.973	7.556370023E01	0.018
15:44:08.894	7.648562223E01	0.018
15:44:09.801	7.740679347E01	0.017
15:44:10.722	7.832829881E01	0.017
15:44:11.644	7.925067588E01	0.016
15:44:12.566	8.017138949E01	0.016
15:44:13.488	8.109328909E01	0.015
15:44:14.410	8.201524246E01	0.015
15:44:15.332	8.293682204E01	0.015
15:44:16.254	8.385770527E01	0.014
15:44:17.176	8.477897891E01	0.015
15:44:18.097	8.570102508E01	0.014
15:44:19.019	8.662254002E01	0.014
15:44:19.941	8.754351797E01	0.014
15:44:20.863	8.846514556E01	0.013
15:44:21.785	8.938608190E01	0.013
15:44:22.707	9.030809287E01	0.014
15:44:23.629	9.122980814E01	0.013
15:44:24.550	9.215123668E01	0.013
15:44:25.472	9.307299291E01	0.013
15:44:26.394	9.399430240E01	0.013
15:44:27.316	9.491579494E01	0.013
15:44:28.238	9.583737964E01	0.012
15:44:29.160	9.675839727E01	0.012
15:44:30.082	9.768063417E01	0.012
15:44:31.004	9.860237697E01	0.012
15:44:31.925	9.952399687E01	0.012
15:44:32.847	1.004440897E02	0.012
15:44:33.769	1.013661211E02	0.012
15:44:34.691	1.022878799E02	0.012
15:44:35.613	1.032098685E02	0.011
15:44:36.535	1.041307888E02	0.012
15:44:37.457	1.050527755E02	0.012
15:44:38.379	1.059735031E02	0.011
15:44:39.300	1.068954354E02	0.011
15:44:40.222	1.078169292E02	0.011
15:44:41.144	1.087386528E02	0.011
15:44:42.066	1.096599687E02	0.011
15:44:42.988	1.105812999E02	0.011
15:44:43.910	1.115039714E02	0.011
15:44:44.832	1.124249340E02	0.011
15:44:45.753	1.133461379E02	0.011
15:44:46.675	1.142670090E02	0.011
15:44:47.597	1.151888433E02	0.011
15:44:48.519	1.161104785E02	0.011
15:44:49.441	1.170320536E02	0.011
15:44:50.363	1.179539795E02	0.010
15:44:51.285	1.188754547E02	0.011
15:44:52.191	1.197972014E02	0.011
15:44:53.113	1.207182568E02	0.011
15:44:54.035	1.216396149E02	0.011
15:44:54.957	1.225606108E02	0.011
15:44:55.878	1.234820707E02	0.010
15:44:56.800	1.244039991E02	0.011
15:44:57.722	1.253258379E02	0.011
15:44:58.644	1.262467499E02	0.011
15:44:59.566	1.271685746E02	0.010
15:45:00.488	1.280901804E02	0.010
15:45:01.410	1.290114330E02	0.010
15:45:02.331	1.299328423E02	0.011
15:45:03.253	1.308548283E02	0.011
15:45:04.175	1.317760635E02	0.010
