Start time: Thu Apr 02 15:37:56 EST 2020
Trend type: Average Wavelength over [300.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
15:37:56.053	0.000000000E00	0.164
15:37:56.975	9.214578760E-01	0.164
15:37:57.896	1.842700060E00	0.164
15:37:58.817	2.769270550E00	0.164
15:37:59.739	3.685733578E00	0.164
15:38:00.661	4.607049366E00	0.164
15:38:01.582	5.528678132E00	0.164
15:38:02.504	6.450223053E00	0.164
15:38:03.425	7.371732132E00	0.423
15:38:04.347	8.293596431E00	0.645
15:38:05.268	9.214660044E00	0.642
15:38:06.189	1.013595279E01	0.645
15:38:07.111	1.105786893E01	0.643
15:38:08.033	1.197953354E01	0.641
15:38:08.954	1.290049987E01	0.638
15:38:09.876	1.382224640E01	0.634
15:38:10.798	1.474392061E01	0.631
15:38:11.720	1.566550841E01	0.628
15:38:12.641	1.658711350E01	0.626
15:38:13.562	1.750902132E01	0.623
15:38:14.484	1.842974891E01	0.618
15:38:15.405	1.935635973E01	0.617
15:38:16.327	2.027281315E01	0.613
15:38:17.248	2.119420319E01	0.609
15:38:18.169	2.211566042E01	0.606
15:38:19.091	2.303739671E01	0.604
15:38:20.012	2.395907668E01	0.601
15:38:20.933	2.488033551E01	0.598
15:38:21.856	2.580233421E01	0.595
15:38:22.777	2.672318214E01	0.593
15:38:23.699	2.764504963E01	0.590
15:38:24.620	2.856629054E01	0.588
15:38:25.542	2.948786490E01	0.585
15:38:26.463	3.040941878E01	0.583
15:38:27.385	3.133074673E01	0.581
15:38:28.306	3.225239662E01	0.579
15:38:29.227	3.317389610E01	0.576
15:38:30.149	3.409554598E01	0.573
15:38:31.070	3.501688161E01	0.571
15:38:31.991	3.593818972E01	0.569
15:38:32.913	3.685968856E01	0.567
15:38:33.836	3.778153238E01	0.565
15:38:34.757	3.870315666E01	0.563
15:38:35.678	3.962424972E01	0.560
15:38:36.600	4.054617738E01	0.558
15:38:37.521	4.146741380E01	0.555
15:38:38.443	4.238896384E01	0.551
15:38:39.365	4.331069694E01	0.549
15:38:40.286	4.423155254E01	0.546
15:38:41.207	4.515354036E01	0.542
15:38:42.129	4.607542386E01	0.539
15:38:43.050	4.699648044E01	0.536
15:38:43.972	4.791792871E01	0.533
15:38:44.893	4.883957796E01	0.530
15:38:45.815	4.976114016E01	0.527
15:38:46.736	5.068351905E01	0.525
15:38:47.657	5.160421912E01	0.522
15:38:48.580	5.252561108E01	0.519
15:38:49.501	5.344724304E01	0.516
15:38:50.423	5.436889165E01	0.514
15:38:51.344	5.529188241E01	0.511
15:38:52.266	5.621165315E01	0.508
15:38:53.187	5.713302078E01	0.505
