Start time: Thu Apr 02 15:49:26 EST 2020
Trend type: Average Wavelength over [300.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
15:49:26.571	0.000000000E00	0.161
15:49:27.494	9.212767455E-01	0.169
15:49:28.415	1.842419723E00	0.190
15:49:29.336	2.763795675E00	0.186
15:49:30.258	3.685577409E00	0.161
15:49:31.180	4.608465768E00	0.161
15:49:32.101	5.528655731E00	0.161
15:49:33.023	6.450268495E00	0.161
15:49:33.944	7.371742372E00	0.161
15:49:34.865	8.293230330E00	0.426
15:49:35.787	9.214768851E00	0.717
15:49:36.708	1.013614992E01	0.609
15:49:37.630	1.105815759E01	0.613
15:49:38.551	1.197937993E01	0.607
15:49:39.473	1.290137672E01	0.603
15:49:40.394	1.382223680E01	0.598
15:49:41.316	1.474368828E01	0.592
15:49:42.237	1.566524792E01	0.586
15:49:43.158	1.658672756E01	0.584
15:49:44.080	1.750821615E01	0.577
15:49:45.003	1.843079025E01	0.572
15:49:45.924	1.935150697E01	0.567
15:49:46.845	2.027261410E01	0.562
15:49:47.767	2.119432927E01	0.557
15:49:48.688	2.211584667E01	0.552
15:49:49.610	2.303736343E01	0.547
15:49:50.531	2.395922517E01	0.542
15:49:51.452	2.487989644E01	0.538
15:49:52.374	2.580161609E01	0.534
15:49:53.296	2.672354632E01	0.529
15:49:54.217	2.764528197E01	0.523
15:49:55.138	2.856645375E01	0.519
15:49:56.060	2.948815100E01	0.514
15:49:56.981	3.040931958E01	0.510
15:49:57.902	3.133097330E01	0.506
15:49:58.824	3.225290097E01	0.501
15:49:59.746	3.317399338E01	0.497
15:50:00.667	3.409541542E01	0.493
15:50:01.589	3.501708386E01	0.488
15:50:02.511	3.593842205E01	0.484
15:50:03.432	3.686000154E01	0.479
15:50:04.354	3.778150037E01	0.475
15:50:05.275	3.870298961E01	0.471
15:50:06.197	3.962451277E01	0.466
15:50:07.120	4.054833878E01	0.461
15:50:08.039	4.146827273E01	0.457
15:50:08.961	4.238908481E01	0.452
15:50:09.882	4.331122881E01	0.447
15:50:10.804	4.423199288E01	0.442
15:50:11.725	4.515345076E01	0.437
15:50:12.646	4.607476527E01	0.432
15:50:13.569	4.699702063E01	0.427
15:50:14.490	4.791805544E01	0.422
15:50:15.412	4.883970149E01	0.417
15:50:16.333	4.976090527E01	0.412
15:50:17.255	5.068240667E01	0.407
15:50:18.176	5.160396695E01	0.402
15:50:19.098	5.252547219E01	0.398
15:50:20.020	5.344723280E01	0.393
15:50:20.941	5.436860491E01	0.388
15:50:21.862	5.529025672E01	0.383
15:50:22.783	5.621136257E01	0.379
15:50:23.705	5.713317951E01	0.375
15:50:24.627	5.805464059E01	0.371
15:50:25.551	5.897845892E01	0.367
15:50:26.470	5.989775411E01	0.363
15:50:27.391	6.081882540E01	0.359
15:50:28.313	6.174057834E01	0.355
15:50:29.234	6.266189861E01	0.351
