Start time: Thu Apr 02 15:56:01 EST 2020
Trend type: Average Wavelength over [300.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
15:56:01.180	0.000000000E00	0.131
15:56:02.103	9.211544985E-01	0.131
15:56:03.025	1.842752543E00	0.131
15:56:03.947	2.764382588E00	0.131
15:56:04.868	3.685364917E00	0.131
15:56:05.790	4.607135771E00	0.131
15:56:06.712	5.527983052E00	0.144
15:56:07.634	6.450697320E00	0.291
15:56:08.541	7.371831337E00	0.842
15:56:09.462	8.292962155E00	0.622
15:56:10.385	9.214221619E00	0.594
15:56:11.307	1.013677908E01	0.615
15:56:12.228	1.105851473E01	0.614
15:56:13.150	1.197915016E01	0.605
15:56:14.072	1.290008064E01	0.599
15:56:14.994	1.382210239E01	0.594
15:56:15.916	1.474393021E01	0.591
15:56:16.838	1.566564730E01	0.590
15:56:17.760	1.658625905E01	0.590
15:56:18.682	1.750767596E01	0.583
15:56:19.604	1.842958250E01	0.569
15:56:20.526	1.935095205E01	0.555
15:56:21.448	2.027231841E01	0.544
15:56:22.370	2.119392477E01	0.533
15:56:23.292	2.211568282E01	0.524
15:56:24.214	2.303745112E01	0.517
15:56:25.136	2.395834640E01	0.511
15:56:26.058	2.487983500E01	0.505
15:56:26.980	2.580119879E01	0.497
15:56:27.902	2.672268739E01	0.489
15:56:28.839	2.765630852E01	0.479
15:56:29.746	2.856580411E01	0.471
15:56:30.668	2.948723190E01	0.463
15:56:31.590	3.040928501E01	0.455
15:56:32.512	3.133083250E01	0.447
15:56:33.434	3.225224813E01	0.438
15:56:34.356	3.317425004E01	0.429
15:56:35.277	3.409500515E01	0.422
15:56:36.199	3.501638046E01	0.414
15:56:37.121	3.593836893E01	0.407
15:56:38.043	3.686097439E01	0.401
15:56:38.950	3.778090322E01	0.394
15:56:39.872	3.870264975E01	0.388
15:56:40.809	3.962846820E01	0.383
15:56:41.934	4.076019291E01	0.376
15:56:44.278	4.310587170E01	0.363
15:56:45.200	4.402683675E01	0.358
15:56:46.122	4.494833814E01	0.353
15:56:47.044	4.586999763E01	0.348
15:56:47.966	4.679161936E01	0.342
15:56:48.888	4.771347534E01	0.338
15:56:49.810	4.863433926E01	0.333
15:56:50.732	4.956472565E01	0.328
15:56:51.857	5.068235162E01	0.322
15:56:52.779	5.160429081E01	0.317
15:56:53.701	5.252511761E01	0.312
15:56:54.623	5.344710735E01	0.307
15:56:55.545	5.436852555E01	0.303
15:56:56.467	5.528957188E01	0.298
15:56:57.389	5.621170435E01	0.294
15:56:58.311	5.713271356E01	0.289
15:56:59.233	5.805408760E01	0.285
15:57:00.155	5.897580725E01	0.280
15:57:01.077	5.989757554E01	0.276
15:57:01.999	6.082734173E01	0.272
15:57:03.327	6.215314738E01	0.266
15:57:04.858	6.368565933E01	0.259
15:57:05.780	6.460690216E01	0.255
15:57:06.702	6.552898599E01	0.252
15:57:07.624	6.645015457E01	0.248
15:57:08.546	6.737221792E01	0.244
15:57:09.468	6.829307608E01	0.241
15:57:10.390	6.921555290E01	0.237
15:57:11.312	7.013729559E01	0.234
15:57:12.234	7.105793934E01	0.231
15:57:13.156	7.197981516E01	0.227
15:57:14.078	7.290283088E01	0.224
15:57:15.000	7.382224448E01	0.221
15:57:15.922	7.474384765E01	0.218
15:57:16.844	7.566593916E01	0.216
15:57:17.766	7.658696885E01	0.213
15:57:18.688	7.751473045E01	0.210
15:57:19.907	7.873883488E01	0.207
15:57:20.829	7.966178212E01	0.204
15:57:21.751	8.058097170E01	0.202
15:57:22.673	8.150162249E01	0.199
15:57:23.595	8.242280963E01	0.197
15:57:24.517	8.334552006E01	0.195
15:57:25.438	8.426625598E01	0.192
15:57:26.361	8.518787706E01	0.190
15:57:27.282	8.610987833E01	0.188
15:57:28.205	8.703057520E01	0.186
15:57:29.127	8.795302321E01	0.184
15:57:30.048	8.887364648E01	0.187
15:57:30.970	8.979534821E01	0.183
15:57:31.892	9.071716323E01	0.181
15:57:32.814	9.163899937E01	0.179
15:57:33.736	9.256028571E01	0.178
15:57:34.658	9.348116243E01	0.176
15:57:35.580	9.440344596E01	0.174
15:57:36.502	9.532470926E01	0.172
15:57:37.424	9.624613898E01	0.170
15:57:38.346	9.716763910E01	0.169
15:57:39.268	9.809213011E01	0.167
15:57:40.190	9.901140226E01	0.166
15:57:41.112	9.993212729E01	0.164
15:57:42.034	1.008542674E02	0.163
15:57:42.956	1.017750027E02	0.162
15:57:43.878	1.026962193E02	0.161
15:57:44.800	1.036177476E02	0.160
15:57:45.722	1.045396068E02	0.159
15:57:46.644	1.054609129E02	0.157
15:57:47.566	1.063829033E02	0.156
15:57:48.488	1.073042838E02	0.155
15:57:49.410	1.082254671E02	0.154
15:57:50.316	1.091472354E02	0.154
15:57:51.238	1.100693147E02	0.153
15:57:52.160	1.109906375E02	0.152
15:57:53.082	1.119120596E02	0.151
15:57:54.004	1.128337395E02	0.151
15:57:54.926	1.137547097E02	0.150
15:57:55.848	1.146758892E02	0.149
15:57:56.770	1.155976229E02	0.149
15:57:57.692	1.165189137E02	0.148
