Start time: Thu Apr 02 15:22:50 EST 2020
Trend type: Average Wavelength over [300.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
15:22:50.926	0.000000000E00	0.122
15:22:51.847	9.212530642E-01	0.123
15:22:52.769	1.842674458E00	0.122
15:22:53.690	2.764040809E00	0.122
15:22:54.612	3.686100959E00	0.122
15:22:55.533	4.607039765E00	0.122
15:22:56.455	5.528469480E00	0.122
15:22:57.376	6.450456666E00	0.122
15:22:58.298	7.371758373E00	0.185
15:22:59.219	8.292997357E00	0.714
15:23:00.141	9.215417848E00	0.618
15:23:01.064	1.013717398E01	0.620
15:23:01.984	1.105769676E01	0.612
15:23:02.905	1.197901639E01	0.597
15:23:03.827	1.290055939E01	0.587
15:23:04.748	1.382231873E01	0.579
15:23:05.670	1.474363259E01	0.570
15:23:06.591	1.566523256E01	0.563
15:23:07.512	1.658678324E01	0.557
15:23:08.435	1.750852209E01	0.550
15:23:09.356	1.842974315E01	0.542
15:23:10.277	1.935121383E01	0.534
15:23:11.199	2.027268707E01	0.526
15:23:12.121	2.119440864E01	0.518
15:23:13.042	2.211568922E01	0.510
15:23:13.964	2.303725207E01	0.502
15:23:14.885	2.395875794E01	0.494
15:23:15.807	2.488041807E01	0.486
15:23:16.728	2.580196171E01	0.479
15:23:17.650	2.672367240E01	0.471
15:23:18.571	2.764481794E01	0.463
15:23:19.492	2.856646719E01	0.453
15:23:20.414	2.948795451E01	0.444
15:23:21.336	3.040932406E01	0.435
15:23:22.257	3.133081650E01	0.427
15:23:23.178	3.225257391E01	0.420
15:23:24.100	3.317437100E01	0.412
15:23:25.022	3.409543974E01	0.407
15:23:25.943	3.504798548E01	0.403
15:23:26.865	3.593899681E01	0.396
15:23:27.786	3.686010586E01	0.389
15:23:28.707	3.778133524E01	0.382
15:23:29.630	3.870332499E01	0.375
15:23:30.551	3.962493904E01	0.368
15:23:31.472	4.054616970E01	0.361
15:23:32.394	4.146784327E01	0.354
15:23:33.315	4.238885888E01	0.348
15:23:34.237	4.331086335E01	0.341
15:23:35.158	4.423205113E01	0.334
15:23:36.080	4.515379766E01	0.327
15:23:37.001	4.607511729E01	0.321
15:23:37.923	4.699758578E01	0.315
15:23:38.844	4.791820521E01	0.309
15:23:39.766	4.884020840E01	0.300
15:23:40.687	4.976165027E01	0.297
15:23:41.609	5.068300894E01	0.296
15:23:42.530	5.160366229E01	0.291
15:23:43.451	5.252617303E01	0.286
15:23:44.373	5.344726736E01	0.281
15:23:45.295	5.436908814E01	0.276
15:23:46.216	5.529025800E01	0.272
15:23:47.138	5.621173124E01	0.267
15:23:48.060	5.713377859E01	0.262
15:23:48.981	5.805524734E01	0.258
15:23:49.902	5.897647544E01	0.254
15:23:50.824	5.989821174E01	0.250
15:23:51.745	6.081935087E01	0.246
15:23:52.668	6.174156015E01	0.242
15:23:53.588	6.266209126E01	0.238
15:23:54.510	6.358403812E01	0.234
15:23:55.431	6.450560032E01	0.230
15:23:56.353	6.542750046E01	0.227
15:23:57.274	6.634819414E01	0.223
15:23:58.196	6.726981074E01	0.220
15:23:59.118	6.819185425E01	0.216
15:24:00.039	6.911307083E01	0.213
15:24:00.960	7.003437254E01	0.210
15:24:01.882	7.095642629E01	0.207
15:24:02.803	7.187755839E01	0.204
15:24:03.725	7.279937340E01	0.201
15:24:04.646	7.372065847E01	0.199
15:24:05.568	7.464234932E01	0.196
15:24:06.489	7.556332461E01	0.194
15:24:07.412	7.648624689E01	0.191
15:24:08.333	7.740724266E01	0.189
15:24:09.254	7.832822371E01	0.187
15:24:10.175	7.924941149E01	0.185
15:24:11.097	8.017126490E01	0.183
15:24:12.019	8.109247253E01	0.181
15:24:12.940	8.201364431E01	0.179
15:24:13.862	8.293546444E01	0.177
15:24:14.783	8.385716361E01	0.176
15:24:15.705	8.477901767E01	0.174
15:24:16.626	8.570017217E01	0.172
15:24:17.548	8.662159484E01	0.170
15:24:18.469	8.754278838E01	0.169
15:24:19.391	8.846512695E01	0.168
15:24:20.312	8.938593839E01	0.166
15:24:21.233	9.030761708E01	0.165
15:24:22.155	9.122936873E01	0.164
15:24:23.076	9.215102822E01	0.163
15:24:23.998	9.307278819E01	0.161
15:24:24.919	9.399364443E01	0.160
15:24:25.841	9.491490838E01	0.159
15:24:26.763	9.583694869E01	0.159
15:24:27.683	9.675794574E01	0.157
15:24:28.605	9.768029454E01	0.157
15:24:29.527	9.860108230E01	0.156
15:24:30.449	9.952271619E01	0.155
15:24:31.371	1.004450413E02	0.154
15:24:32.291	1.013655897E02	0.153
15:24:33.213	1.022873906E02	0.153
15:24:34.135	1.032090668E02	0.152
15:24:35.056	1.041301777E02	0.151
