Start time: Thu Apr 02 16:06:25 EST 2020
Trend type: Average Wavelength over [300.00, 700.00]
Trend offset: None
>>>>>Begin Strip Chart Data<<<<<
Date	Elapsed Time	Absorbance(Absorbance)
16:06:25.761	0.000000000E00	0.103
16:06:26.683	9.219455841E-01	0.103
16:06:27.605	1.843706838E00	0.103
16:06:28.527	2.765599939E00	0.103
16:06:29.449	3.686841482E00	0.219
16:06:30.355	4.607739966E00	0.611
16:06:31.277	5.529206162E00	0.578
16:06:32.199	6.452068919E00	0.574
16:06:33.121	7.372310085E00	0.565
16:06:34.043	8.294162864E00	0.556
16:06:34.965	9.215342324E00	0.545
16:06:35.887	1.013713366E01	0.535
16:06:36.809	1.105870610E01	0.524
16:06:37.731	1.197991820E01	0.514
16:06:38.653	1.290173450E01	0.503
16:06:39.575	1.382347463E01	0.492
16:06:40.497	1.474475650E01	0.482
16:06:41.419	1.566662272E01	0.471
16:06:42.341	1.658739959E01	0.461
16:06:43.263	1.750843505E01	0.451
16:06:44.185	1.843045167E01	0.441
16:06:45.106	1.935245870E01	0.432
16:06:46.029	2.027362088E01	0.422
16:06:46.951	2.119547942E01	0.413
16:06:47.873	2.211682529E01	0.403
16:06:48.794	2.303773913E01	0.393
16:06:49.716	2.396038812E01	0.384
16:06:50.638	2.488106963E01	0.376
16:06:51.560	2.580214476E01	0.366
16:06:52.482	2.672824163E01	0.357
16:06:53.404	2.764600329E01	0.349
16:06:54.326	2.856699650E01	0.340
16:06:55.248	2.948936387E01	0.332
16:06:56.170	3.041040764E01	0.323
16:06:57.092	3.133198008E01	0.315
16:06:58.014	3.225375926E01	0.307
16:06:58.936	3.317529202E01	0.299
16:06:59.858	3.409601321E01	0.291
16:07:00.780	3.501776102E01	0.284
16:07:01.702	3.593950948E01	0.276
16:07:02.608	3.686019355E01	0.269
16:07:03.531	3.778293790E01	0.262
16:07:04.453	3.870362133E01	0.256
16:07:05.375	3.962576532E01	0.249
16:07:06.297	4.054656204E01	0.244
16:07:07.219	4.146776902E01	0.237
16:07:08.141	4.239006727E01	0.231
16:07:09.063	4.331083902E01	0.226
16:07:09.985	4.423267068E01	0.220
16:07:10.907	4.515411512E01	0.215
16:07:11.829	4.607653241E01	0.209
16:07:12.751	4.699695982E01	0.205
16:07:13.672	4.791841002E01	0.200
16:07:14.595	4.883993894E01	0.195
16:07:15.517	4.976437299E01	0.191
16:07:16.438	5.068397668E01	0.186
16:07:17.360	5.160480604E01	0.182
16:07:18.282	5.252590805E01	0.178
16:07:19.204	5.344827670E01	0.174
16:07:20.127	5.436988819E01	0.170
16:07:21.048	5.529049417E01	0.167
16:07:21.970	5.621229191E01	0.163
16:07:22.892	5.713412677E01	0.160
16:07:23.814	5.805521790E01	0.156
16:07:24.736	5.897657785E01	0.153
16:07:25.658	5.989879929E01	0.151
16:07:26.580	6.081945648E01	0.148
16:07:27.502	6.174205874E01	0.145
16:07:28.424	6.266233831E01	0.143
16:07:29.346	6.358463784E01	0.140
16:07:30.268	6.450545823E01	0.138
16:07:31.190	6.542722589E01	0.136
16:07:32.112	6.634922780E01	0.134
16:07:33.034	6.727152412E01	0.132
16:07:33.940	6.819220179E01	0.130
16:07:34.862	6.911324684E01	0.129
16:07:35.784	7.003453895E01	0.127
