wav,int
3.99976100E+02,1.88561700E+00
4.00036300E+02,1.84977100E+00
4.00096600E+02,1.80771400E+00
4.00156900E+02,1.76432900E+00
4.00217100E+02,1.72572300E+00
4.00277400E+02,1.69649300E+00
4.00337700E+02,1.67815000E+00
4.00397900E+02,1.66920100E+00
4.00458200E+02,1.66542500E+00
4.00518500E+02,1.66196700E+00
4.00578700E+02,1.65461100E+00
4.00639000E+02,1.64183500E+00
4.00699200E+02,1.62474500E+00
4.00759500E+02,1.60560700E+00
4.00819800E+02,1.58636300E+00
4.00880000E+02,1.56798900E+00
4.00940300E+02,1.55039200E+00
4.01000600E+02,1.53308900E+00
4.01060900E+02,1.51594000E+00
4.01121100E+02,1.49964000E+00
4.01181400E+02,1.48556500E+00
4.01241600E+02,1.47544900E+00
4.01301900E+02,1.47063700E+00
4.01362200E+02,1.47136000E+00
4.01422400E+02,1.47658500E+00
4.01482700E+02,1.48369900E+00
4.01543000E+02,1.48918100E+00
4.01603200E+02,1.48920400E+00
4.01663500E+02,1.48085400E+00
4.01723800E+02,1.46340900E+00
4.01784000E+02,1.43854200E+00
4.01844300E+02,1.40990200E+00
4.01904500E+02,1.38174900E+00
4.01964800E+02,1.35845000E+00
4.02025100E+02,1.34354100E+00
4.02085300E+02,1.33934400E+00
4.02145600E+02,1.34713100E+00
4.02205900E+02,1.36666500E+00
4.02266100E+02,1.39618400E+00
4.02326400E+02,1.43175100E+00
4.02386700E+02,1.46744800E+00
4.02446900E+02,1.49647800E+00
4.02507200E+02,1.51259400E+00
4.02567400E+02,1.51309300E+00
4.02627700E+02,1.49958300E+00
4.02688000E+02,1.47698400E+00
4.02748300E+02,1.45078300E+00
4.02808500E+02,1.42547600E+00
4.02868800E+02,1.40442100E+00
4.02929000E+02,1.38957300E+00
4.02989300E+02,1.38208800E+00
4.03049600E+02,1.38257500E+00
4.03109800E+02,1.39090100E+00
4.03170100E+02,1.40617300E+00
4.03230400E+02,1.42658000E+00
4.03290600E+02,1.44973500E+00
4.03350900E+02,1.47300300E+00
4.03411200E+02,1.49435400E+00
4.03471400E+02,1.51309900E+00
4.03531700E+02,1.53000300E+00
4.03591900E+02,1.54669200E+00
4.03652200E+02,1.56423400E+00
4.03712500E+02,1.58226900E+00
4.03772700E+02,1.59843400E+00
4.03833000E+02,1.60907400E+00
4.03893300E+02,1.61039800E+00
4.03953600E+02,1.60061200E+00
4.04013800E+02,1.58081500E+00
4.04074100E+02,1.55445100E+00
4.04134300E+02,1.52573500E+00
4.04194600E+02,1.49808200E+00
4.04254900E+02,1.47412600E+00
4.04315100E+02,1.45562000E+00
4.04375400E+02,1.44383300E+00
4.04435700E+02,1.44008000E+00
4.04495900E+02,1.44553000E+00
4.04556200E+02,1.46089600E+00
4.04616500E+02,1.48594200E+00
4.04676700E+02,1.51891200E+00
4.04737000E+02,1.55605300E+00
4.04797200E+02,1.59133200E+00
4.04857500E+02,1.61816100E+00
4.04917800E+02,1.63145600E+00
4.04978000E+02,1.63021600E+00
4.05038300E+02,1.61768800E+00
4.05098600E+02,1.59940200E+00
4.05158800E+02,1.58068200E+00
4.05219100E+02,1.56493300E+00
4.05279400E+02,1.55376700E+00
4.05339600E+02,1.54771300E+00
4.05399900E+02,1.54679600E+00
4.05460100E+02,1.55100800E+00
