sample4,,
Wavelength (nm),Abs,
650,0.07718195,
649.8499756,0.077107966,
649.7000122,0.076997675,
649.5499878,0.076951779,
649.4000244,0.077085301,
649.25,0.076966397,
649.0999756,0.076953694,
648.9500122,0.076889791,
648.7999878,0.076856449,
648.6500244,0.076938763,
648.5,0.076932214,
648.3499756,0.07686884,
648.2000122,0.07695879,
648.0499878,0.076907121,
647.9000244,0.07700333,
647.75,0.077037357,
647.5999756,0.077157892,
647.4500122,0.077073924,
647.2999878,0.077379793,
647.1500244,0.077337168,
647,0.077325046,
646.8499756,0.077381432,
646.7000122,0.077373356,
646.5499878,0.077540807,
646.4000244,0.077510916,
646.25,0.077600472,
646.0999756,0.077686027,
645.9500122,0.077572063,
645.7999878,0.077625081,
645.6500244,0.077593885,
645.5,0.077594318,
645.3499756,0.077513076,
645.2000122,0.077533722,
645.0499878,0.077313259,
644.9000244,0.07742437,
644.75,0.077319101,
644.5999756,0.077177033,
644.4500122,0.077146575,
644.2999878,0.077275433,
644.1500244,0.077019706,
644,0.07725323,
643.8499756,0.077084899,
643.7000122,0.07722833,
643.5499878,0.077146143,
643.4000244,0.077330545,
643.25,0.077353038,
643.0999756,0.077226691,
642.9500122,0.077463046,
642.7999878,0.077554919,
642.6500244,0.077752747,
642.5,0.077730611,
642.3499756,0.077904202,
642.2000122,0.077952184,
642.0499878,0.078090847,
641.9000244,0.077982381,
641.75,0.078023396,
641.5999756,0.078170523,
641.4500122,0.078166522,
641.2999878,0.078238428,
641.1500244,0.078053206,
641,0.078103676,
640.8499756,0.077985108,
640.7000122,0.077953391,
640.5499878,0.077744477,
640.4000244,0.077794328,
640.25,0.07773906,
640.0999756,0.077613972,
639.9500122,0.077579215,
639.7999878,0.077480063,
639.6500244,0.077596977,
639.5,0.077419482,
639.3499756,0.077327825,
639.2000122,0.077507325,
639.0499878,0.077499896,
638.9000244,0.077656068,
638.75,0.077711381,
638.5999756,0.077768072,
638.4500122,0.077961631,
638.2999878,0.078031234,
638.1500244,0.078255504,
638,0.078337684,
637.8499756,0.078455448,
637.7000122,0.078482464,
637.5499878,0.078600854,
637.4000244,0.078765273,
637.25,0.078756519,
637.0999756,0.078814119,
636.9500122,0.078700326,
636.7999878,0.078693159,
636.6500244,0.078595459,
636.5,0.078747027,
636.3499756,0.07857579,
636.2000122,0.078421369,
636.0499878,0.078343078,
635.9000244,0.078193016,
635.75,0.078055993,
635.5999756,0.0779787,
635.4500122,0.077941343,
635.2999878,0.078022994,
635.1500244,0.077781014,
635,0.077916376,
634.8499756,0.077942707,
634.7000122,0.077971324,
634.5499878,0.078087874,
634.4000244,0.078165904,
634.25,0.078359887,
634.0999756,0.078495272,
633.9500122,0.078610688,
633.7999878,0.078765117,
633.6500244,0.07904084,
633.5,0.079139233,
633.3499756,0.079227574,
633.2000122,0.079635948,
633.0499878,0.079580538,
632.9000244,0.079476424,
632.75,0.079478569,
632.5999756,0.079571709,
632.4500122,0.079509191,
632.2999878,0.079370998,
632.1500244,0.079463311,
632,0.079427473,
631.8499756,0.079192564,
631.7000122,0.078845069,
631.5499878,0.078871541,
631.4000244,0.078760214,
631.25,0.078555539,
631.0999756,0.078545146,
630.9500122,0.078455485,
630.7999878,0.078475825,
630.6500244,0.078398056,
630.5,0.078498252,
630.3499756,0.078549549,
630.2000122,0.078696691,
630.0499878,0.078841746,
629.9000244,0.078931056,
629.75,0.079147428,
629.5999756,0.07960964,
629.4500122,0.079542764,
629.2999878,0.079840392,
629.1500244,0.080118075,
629,0.080265127,
628.8499756,0.08047653,
628.7000122,0.08055228,
628.5499878,0.080566958,
628.4000244,0.080830172,
628.25,0.08065366,
628.0999756,0.080572501,
627.9500122,0.080320872,
627.7999878,0.080219761,
627.6500244,0.080225989,
627.5,0.080058277,
627.3499756,0.079783119,
627.2000122,0.079594627,
627.0499878,0.079340234,
626.9000244,0.079215832,
626.75,0.07915125,
626.5999756,0.079106338,
626.4500122,0.079011776,
626.2999878,0.07908541,
626.1500244,0.079149544,
626,0.079382531,
625.8499756,0.079508349,
625.7000122,0.079807788,
625.5499878,0.079964504,
625.4000244,0.080351368,
625.25,0.080505349,
625.0999756,0.080770023,
624.9500122,0.081089832,
624.7999878,0.081420027,
624.6500244,0.081560366,
624.5,0.081792369,
624.3499756,0.081875317,
624.2000122,0.081944056,
624.0499878,0.081900701,
623.9000244,0.081758276,
623.75,0.081699818,
623.5999756,0.081614777,
623.4500122,0.08139383,
623.2999878,0.081148684,
623.1500244,0.080927216,
623,0.080524638,
622.8499756,0.080513142,
622.7000122,0.080193885,
622.5499878,0.080126792,
622.4000244,0.079966307,
622.25,0.079861447,
622.0999756,0.080049127,
621.9500122,0.080091178,
621.7999878,0.080213562,
621.6500244,0.080316857,
621.5,0.080622897,
621.3499756,0.08112637,
621.2000122,0.081394948,
621.0499878,0.081745341,
620.9000244,0.08216735,
620.75,0.082501709,
620.5999756,0.082746491,
620.4500122,0.083088696,
620.2999878,0.08327429,
620.1500244,0.083310321,
620,0.083622344,
619.8499756,0.083486825,
619.7000122,0.083373867,
619.5499878,0.083189011,
619.4000244,0.083197415,
619.25,0.082805723,
619.0999756,0.082498424,
618.9500122,0.082006298,
618.7999878,0.081806436,
618.6500244,0.081508085,
618.5,0.081238464,
618.3499756,0.081122532,
618.2000122,0.080901362,
618.0499878,0.081073925,
617.9000244,0.081190184,
617.75,0.0811157,
617.5999756,0.081468388,
617.4500122,0.081804216,
617.2999878,0.082073994,
617.1500244,0.082587704,
617,0.083108507,
616.8499756,0.083571315,
616.7000122,0.084055632,
616.5499878,0.084421732,
616.4000244,0.084787942,
616.25,0.085224167,
616.0999756,0.085324563,
615.9500122,0.085413702,
615.7999878,0.085323207,
615.6500244,0.085356765,
615.5,0.085272394,
