sample1,,
Wavelength (nm),Abs,
650,0.073597148,
649.8499756,0.073037662,
649.7000122,0.072851583,
649.5499878,0.072724245,
649.4000244,0.07249058,
649.25,0.072087526,
649.0999756,0.072230354,
648.9500122,0.072145902,
648.7999878,0.072572872,
648.6500244,0.072369285,
648.5,0.072659038,
648.3499756,0.072657838,
648.2000122,0.072587036,
648.0499878,0.07297761,
647.9000244,0.07237161,
647.75,0.072561733,
647.5999756,0.072456017,
647.4500122,0.072659217,
647.2999878,0.072515816,
647.1500244,0.072760701,
647,0.07270968,
646.8499756,0.072940767,
646.7000122,0.072810531,
646.5499878,0.073184267,
646.4000244,0.073029973,
646.25,0.073300272,
646.0999756,0.073266596,
645.9500122,0.073483974,
645.7999878,0.073640786,
645.6500244,0.073100545,
645.5,0.072705366,
645.3499756,0.073165916,
645.2000122,0.073240213,
645.0499878,0.073315784,
644.9000244,0.073236294,
644.75,0.072596796,
644.5999756,0.072778821,
644.4500122,0.072368033,
644.2999878,0.072179183,
644.1500244,0.07266023,
644,0.072745733,
643.8499756,0.072413445,
643.7000122,0.072866552,
643.5499878,0.07248278,
643.4000244,0.072698541,
643.25,0.072387882,
643.0999756,0.073238865,
642.9500122,0.073010862,
642.7999878,0.073108725,
642.6500244,0.073272176,
642.5,0.073232643,
642.3499756,0.073179334,
642.2000122,0.073614106,
642.0499878,0.073601007,
641.9000244,0.073432557,
641.75,0.073782779,
641.5999756,0.073643856,
641.4500122,0.073620543,
641.2999878,0.073823832,
641.1500244,0.07445389,
641,0.074082404,
640.8499756,0.07368888,
640.7000122,0.073006518,
640.5499878,0.07291808,
640.4000244,0.073124804,
640.25,0.073177218,
640.0999756,0.072694503,
639.9500122,0.072831407,
639.7999878,0.072502449,
639.6500244,0.072848402,
639.5,0.072719201,
639.3499756,0.072793819,
639.2000122,0.07286799,
639.0499878,0.072813474,
638.9000244,0.072951607,
638.75,0.072943129,
638.5999756,0.073188894,
638.4500122,0.072903596,
638.2999878,0.073401935,
638.1500244,0.073362887,
638,0.073589414,
637.8499756,0.074065737,
637.7000122,0.073847331,
637.5499878,0.074269965,
637.4000244,0.074265972,
637.25,0.074439049,
637.0999756,0.074599832,
636.9500122,0.074204057,
636.7999878,0.074294165,
636.6500244,0.074817628,
636.5,0.07489907,
636.3499756,0.074585877,
636.2000122,0.073861845,
636.0499878,0.07304991,
635.9000244,0.073058307,
635.75,0.073377229,
635.5999756,0.073225752,
635.4500122,0.07241825,
635.2999878,0.073238499,
635.1500244,0.072717056,
635,0.072866157,
634.8499756,0.073031351,
634.7000122,0.072933882,
634.5499878,0.073138312,
634.4000244,0.073637687,
634.25,0.073718481,
634.0999756,0.073531583,
633.9500122,0.073843099,
633.7999878,0.073623702,
633.6500244,0.074082956,
633.5,0.074379474,
633.3499756,0.074918479,
633.2000122,0.074836053,
633.0499878,0.074616306,
632.9000244,0.075474575,
632.75,0.075331353,
632.5999756,0.075507961,
632.4500122,0.075277105,
632.2999878,0.075269006,
632.1500244,0.074960314,
632,0.074800007,
631.8499756,0.075242713,
631.7000122,0.074348934,
631.5499878,0.073612541,
631.4000244,0.073194437,
631.25,0.073213466,
631.0999756,0.073055767,
630.9500122,0.073148914,
630.7999878,0.072687373,
630.6500244,0.073535755,
630.5,0.073467664,
630.3499756,0.073331811,
630.2000122,0.073647164,
630.0499878,0.073679551,
629.9000244,0.073718265,
629.75,0.073698662,
629.5999756,0.074170463,
629.4500122,0.07461001,
629.2999878,0.074474752,
629.1500244,0.075144686,
629,0.075384527,
628.8499756,0.075553916,
628.7000122,0.076053277,
628.5499878,0.075677983,
628.4000244,0.075603977,
628.25,0.075893208,
628.0999756,0.076780692,
627.9500122,0.076332681,
627.7999878,0.075605892,
627.6500244,0.07472486,
627.5,0.075440109,
627.3499756,0.074489623,
627.2000122,0.073188834,
627.0499878,0.073065199,
626.9000244,0.073159575,
626.75,0.07315293,
626.5999756,0.072949864,
626.4500122,0.073089764,
626.2999878,0.073296964,
626.1500244,0.073865987,
626,0.073862031,
625.8499756,0.074058242,
625.7000122,0.074351735,
625.5499878,0.074670196,
625.4000244,0.075328946,
625.25,0.074903622,
625.0999756,0.075638421,
624.9500122,0.075682513,
624.7999878,0.07599844,
624.6500244,0.076252148,
624.5,0.076893277,
624.3499756,0.077200472,
624.2000122,0.077416301,
624.0499878,0.07700336,
623.9000244,0.077063508,
623.75,0.077487394,
623.5999756,0.077891909,
623.4500122,0.076819032,
623.2999878,0.075636268,
623.1500244,0.075311549,
623,0.0746646,
622.8499756,0.073792316,
622.7000122,0.073715195,
622.5499878,0.073863901,
622.4000244,0.074044459,
622.25,0.07425525,
622.0999756,0.073933013,
621.9500122,0.074353978,
621.7999878,0.074468575,
621.6500244,0.074741893,
621.5,0.075262293,
621.3499756,0.075716533,
621.2000122,0.075445808,
621.0499878,0.075666092,
620.9000244,0.076309234,
620.75,0.07689856,
620.5999756,0.077689655,
620.4500122,0.07774429,
620.2999878,0.078187965,
620.1500244,0.078538664,
620,0.079449102,
619.8499756,0.07956773,
619.7000122,0.079595,
619.5499878,0.07909441,
619.4000244,0.079453669,
619.25,0.079066589,
619.0999756,0.077650368,
618.9500122,0.075615406,
618.7999878,0.07473959,
618.6500244,0.074227244,
618.5,0.074328758,
618.3499756,0.074417785,
618.2000122,0.074476749,
618.0499878,0.074829012,
617.9000244,0.07539244,
617.75,0.075409435,
617.5999756,0.075755462,
617.4500122,0.075733885,
617.2999878,0.076260507,
617.1500244,0.077200316,
617,0.077479228,
616.8499756,0.077877566,
616.7000122,0.077975534,
616.5499878,0.07880009,
616.4000244,0.079256222,
616.25,0.079981342,
616.0999756,0.080621809,
615.9500122,0.080911003,
615.7999878,0.081528351,
615.6500244,0.082019404,
615.5,0.082621172,
615.3499756,0.08174365,
615.2000122,0.08082749,
615.0499878,0.079623573,
614.9000244,0.076961882,
614.75,0.075036556,
614.5999756,0.074953794,
614.4500122,0.075248718,
614.2999878,0.075215444,
614.1500244,0.075535312,
614,0.075948432,
613.8499756,0.07601624,
613.7000122,0.076205716,
613.5499878,0.076879621,
613.4000244,0.077324301,
613.25,0.0773561,
613.0999756,0.07801795,
612.9500122,0.078815266,
612.7999878,0.078968525,
612.6500244,0.079674475,
612.5,0.080247879,
612.3499756,0.081197113,
612.2000122,0.081956744,
612.0499878,0.08229126,
611.9000244,0.083519354,
611.75,0.084434465,
611.5999756,0.084674612,
611.4500122,0.085182838,
611.2999878,0.085432105,
611.1500244,0.083261721,
611,0.079944871,
610.8499756,0.076701775,
610.7000122,0.075462841,
610.5499878,0.075434506,
610.4000244,0.075932734,
610.25,0.076166347,
610.0999756,0.076325059,
609.9500122,0.076820791,
609.7999878,0.077164106,
609.6500244,0.077488787,
609.5,0.078136958,
609.3499756,0.078828149,
609.2000122,0.079310656,
609.0499878,0.080086663,
608.9000244,0.080137871,
608.75,0.081139535,
608.5999756,0.081986763,
608.4500122,0.08253736,
608.2999878,0.083294742,
608.1500244,0.084667318,
608,0.085547082,
607.8499756,0.086886682,
607.7000122,0.087596506,
607.5499878,0.088480264,
607.4000244,0.088456564,
607.25,0.087712884,
607.0999756,0.085089184,
606.9500122,0.07850036,
606.7999878,0.076292656,
606.6500244,0.076348111,
606.5,0.076720551,
606.3499756,0.076857097,
606.2000122,0.077371784,
606.0499878,0.077658415,
605.9000244,0.078508049,
605.75,0.078877874,
605.5999756,0.079070933,
605.4500122,0.080448397,
605.2999878,0.080965362,
605.1500244,0.081381716,
605,0.082262471,
604.8499756,0.083258867,
604.7000122,0.084178321,
604.5499878,0.084939703,
604.4000244,0.08598347,
604.25,0.086763538,
604.0999756,0.088098623,
603.9500122,0.089185968,
603.7999878,0.090347305,
603.6500244,0.091580212,
603.5,0.092720896,
603.3499756,0.092300832,
603.2000122,0.086803876,
603.0499878,0.079522029,
602.9000244,0.076933913,
602.75,0.077603199,
602.5999756,0.078132369,
602.4500122,0.078270853,
602.2999878,0.078953378,
602.1500244,0.079411618,
602,0.080099866,
601.8499756,0.080599986,
601.7000122,0.081343405,
601.5499878,0.082060896,
601.4000244,0.082940623,
601.25,0.083519422,
601.0999756,0.08456707,
600.9500122,0.085732028,
600.7999878,0.086944386,
600.6500244,0.087991849,
600.5,0.089044221,
600.3499756,0.09006577,
600.2000122,0.091387808,
600.0499878,0.092998058,
599.9000244,0.094572172,
599.75,0.095947407,
599.5999756,0.097612605,
599.4500122,0.094148137,
599.2999878,0.085525207,
599.1500244,0.07932274,
599,0.078588046,
598.8499756,0.078744046,
598.7000122,0.079840668,
598.5499878,0.080237597,
598.4000244,0.080755122,
598.25,0.081370883,
598.0999756,0.082148209,
597.9500122,0.082990289,
597.7999878,0.083660692,
597.6500244,0.085025012,
597.5,0.085704088,
597.3499756,0.086954162,
597.2000122,0.087966993,
597.0499878,0.089209907,
596.9000244,0.09103632,
596.75,0.091738746,
596.5999756,0.093436606,
596.4500122,0.095015571,
596.2999878,0.096672408,
596.1500244,0.098989479,
596,0.100328922,
595.8499756,0.101117477,
595.7000122,0.099017084,
595.5499878,0.089147829,
595.4000244,0.081170775,
595.25,0.080292314,
595.0999756,0.080765255,
594.9500122,0.081356674,
594.7999878,0.082206793,
594.6500244,0.08278276,
594.5,0.083677702,
594.3499756,0.084909737,
594.2000122,0.085511275,
594.0499878,0.086481132,
593.9000244,0.08746627,
593.75,0.088851668,
593.5999756,0.090245292,
593.4500122,0.091584906,
593.2999878,0.092989273,
593.1500244,0.095061317,
593,0.096477471,
592.8499756,0.09787935,
592.7000122,0.099670112,
592.5499878,0.101590797,
592.4000244,0.104060493,
592.25,0.105321929,
592.0999756,0.105060458,
591.9500122,0.098010711,
591.7999878,0.087618873,
591.6500244,0.082427315,
591.5,0.082748435,
591.3499756,0.083489925,
591.2000122,0.083457738,
591.0499878,0.085011259,
590.9000244,0.085676998,
590.75,0.086209103,
590.5999756,0.087937996,
590.4500122,0.089173034,
590.2999878,0.090889052,
590.1500244,0.09156011,
590,0.093332842,
589.8499756,0.095306039,
589.7000122,0.096182995,
589.5499878,0.097687639,
589.4000244,0.099579073,
589.25,0.102025375,
589.0999756,0.103606097,
588.9500122,0.106680945,
588.7999878,0.108448528,
588.6500244,0.110102743,
588.5,0.106200852,
588.3499756,0.100894474,
588.2000122,0.09368597,
588.0499878,0.086264513,
587.9000244,0.084729545,
587.75,0.085623845,
587.5999756,0.086561568,
587.4500122,0.08705613,
587.2999878,0.088552944,
587.1500244,0.090246759,
587,0.091622114,
586.8499756,0.092661001,
586.7000122,0.094050661,
586.5499878,0.095458031,
586.4000244,0.097014472,
586.25,0.098942563,
586.0999756,0.100673094,
585.9500122,0.102697149,
585.7999878,0.105062537,
585.6500244,0.107647397,
585.5,0.110196143,
585.3499756,0.113168396,
585.2000122,0.113610826,
585.0499878,0.109460123,
584.9000244,0.10776867,
584.75,0.104886577,
584.5999756,0.095390506,
584.4500122,0.089379281,
584.2999878,0.088257827,
584.1500244,0.0887421,
584,0.09010008,
583.8499756,0.091278173,
583.7000122,0.092898823,
583.5499878,0.093694478,
583.4000244,0.09464363,
583.25,0.09647169,
583.0999756,0.098212823,
582.9500122,0.099999748,
